Locus	Assay	Chrom	Genetic Position	Contig	Yacs
D2Mit478.1		Chr2	50.3 P	WC2.39	124_B_11 166_D_11 168_B_2 239_D_4 239_D_5 239_E_5 289_E_12 320_C_11 449_D_5
D2Mit15	A61	Chr2	50.3 F	WC2.33	285_A_6 402_D_3
D2Mit141	MPC2027	Chr2	50.3 P		134_G_10 187_G_1 312_E_7 348_A_10
D2Mit45	B338	Chr2	50.3 F	WC2.38	240_A_9 433_F_2
D2Mit253	MT2145	Chr2	50.3 F	WC2.33	187_B_2 285_A_6 379_E_2
D2Mit250	MT2484	Chr2	50.3 F	WC2.37	292_C_3 358_C_5 88_A_1 88_C_11
D2Mit388	MT4722	Chr2	50.3 F	WC2.37	288_E_12 426_C_4 88_C_11
D2Mit13	M130	Chr2	50.3 P	WC2.39	120_B_10 124_B_11 183_G_4 239_D_4 239_D_5 239_E_5 289_E_12 320_C_11 342_G_6 391_H_12 406_A_6 439_E_12 463_F_5
D2Mit389	MT5108	Chr2	50.3 P	WC2.37	139_B_1 88_A_1 88_C_11
D2Mit98	MPC2107	Chr2	50.3 F		159_F_11 172_H_12 457_B_3
D2Mit221	MT1923	Chr2	50.3 F	WC2.32	115_F_8 132_E_8 256_C_4 398_F_11 406_C_4
D2Mit127	MPC2587	Chr2	50.3 P		125_H_4 322_B_11 343_B_3
D2Mit43	B187	Chr2	50.3 F	WC2.38	135_E_2 149_B_7 288_E_7 328_B_3 345_H_10 391_E_9 412_A_10
D2Mit479	MTH315	Chr2	50.3 F	WC2.33	181_A_6 188_H_10 285_A_6
D2Mit385	MJ5077	Chr2	50.3 F	WC2.38	118_H_9 134_C_1 135_E_2 149_B_7 288_E_7 328_B_3 328_D_8 362_H_7 412_A_10 419_B_9 437_E_11 439_C_4
D2Mit251	MT2730	Chr2	50.3 P	WC2.36	304_B_6 322_H_12 335_B_3
D2Mit128	MPC1815	Chr2	50.3 P	WC2.39	120_B_10 124_B_11 168_B_2 239_D_4 239_D_5 239_E_5
D2Mit302	MT3095	Chr2	50.3 P		341_F_9 445_A_5
D2Mit100	MPC872	Chr2	50.3 F	WC2.39	124_B_11 166_D_11 168_B_2 239_D_4 239_D_5 239_E_5 289_E_12 320_C_11
D2Mit301	MT3480	Chr2	50.3 F	WC2.35	462_A_12
D2Mit42	A695	Chr2	50.3 F	WC2.38	135_E_2 149_B_7
D2Mit351	MT3571	Chr2	50.3 F	WC2.32	119_G_1 147_F_1 160_B_9 183_B_5 193_E_2 212_E_2 317_G_5 324_D_12 343_C_10 349_B_2 362_D_8 376_F_8
D2Mit333	MT495	Chr2	50.3 F	WC2.38	135_E_2 149_B_7 412_A_10
D2Mit440	MTH1349	Chr2	50.3 P	WC2.34	132_E_6 151_E_4 169_H_12 311_B_2 326_A_8 375_F_10 414_F_12 432_G_3 439_D_7
D2Mit334	MJ4248	Chr2	50.3 F		128_D_5
D2Mit252	MT2603	Chr2	50.3 F	WC2.39	124_B_11 166_D_11 239_D_4 239_D_5 239_E_5 289_E_12 320_C_11 448_F_4
D2Mit129	MPC1164	Chr2	50.3 F	WC2.32	193_E_2 256_C_4 266_E_9 312_F_8 317_G_3 391_H_3 398_F_11 418_F_12
D2Mit186	MT534	Chr2	50.3 F		324_G_11 405_D_10 414_F_5 416_G_7
D2Mit131	MPC948	Chr2	50.3 P	WC2.40	117_A_9 311_B_9 356_E_5 403_H_5 408_F_10
D2Mit185	MT1101	Chr2	50.3 F	WC2.38	115_H_7 123_H_4 240_A_9 308_G_12 405_H_4 406_F_3 415_A_10 454_H_4
D2Mit437	MTH1057	Chr2	50.3 P	WC2.35	415_A_6 424_E_1 462_A_12
D2Mit387	MT4540	Chr2	50.3 F	WC2.38	163_H_8 240_A_9 308_A_4 308_F_4 448_B_9
D2Mit97	MPC842	Chr2	50.3 F	WC2.37	139_B_11 278_D_11 88_A_1 88_C_11
D2Mit130	MPC1162	Chr2	50.3 F		144_F_8 341_C_8
D2Mit350	MT3570	Chr2	50.3 F	WC2.32	183_B_5 193_E_2 317_G_5 349_B_2 362_D_8
D2Mit300	MTAR105	Chr2	50.3 F	WC2.34	132_E_6 151_E_4 169_H_12 311_B_2 375_F_10 414_F_12 432_G_3 439_D_7
D2Mit477.1		Chr2	50.3 P	WC2.38	135_E_2
D2Mit44	B266	Chr2	50.3 F	WC2.38	163_H_8 240_A_9 406_F_3
D2Mit384	MJ4745	Chr2	50.3 F	WC2.34	150_G_12 151_E_4 311_B_2 375_F_10 414_F_12
D2Mit214	MT1061	Chr2	50.3 P	WC2.39	120_B_10 124_B_11 166_D_11 168_B_2 239_D_4 239_D_5 239_E_5 289_E_12 320_C_11
D2Mit207	MT1316	Chr2	51.4 F		140_H_6 438_H_7
D2Mit162.1		Chr2	51.4 P	WC2.41	123_D_3 165_F_5 173_G_4 199_B_3 281_H_6 381_G_6 387_G_11 448_D_10 448_E_10
D2Mit211.2		Chr2	51.4 F	WC2.41	116_H_6 316_B_6 316_D_6 381_H_1 408_D_4 411_H_12 411_H_7 412_G_4
D2Mit390	MT4903	Chr2	51.4 F	WC2.40	409_F_12
D2Mit58	A739	Chr2	51.4 F	WC2.41	116_H_6 141_B_9 316_B_6 316_D_6 326_F_3 341_A_5 397_C_9 408_D_4 411_H_7 412_G_4 448_D_10 448_E_10 460_E_9 461_E_9
D2Mit481	MTH2975	Chr2	51.4 F	WC2.40	140_C_7 147_A_7 379_F_10 392_H_1 434_G_5
D2Mit206	MT1326	Chr2	51.4 P	WC2.39	115_B_7 115_B_9 124_B_11 239_E_5 299_G_1 307_B_7 403_A_11 403_B_10 451_E_8
D2Mit480	MTH2579	Chr2	51.4 F	WC2.41	298_D_3 385_G_9 396_A_6 423_A_7 428_A_7
D2Mit163	MT898	Chr2	51.4 P		295_D_7 303_E_7
D2Mit482	MTH3212	Chr2	51.4 F	WC2.41	110_E_3 199_B_3 298_D_3
D2Mit391	MT5261	Chr2	52.5 P	WC2.42	113_B_6 211_C_1 211_C_2 239_E_5 313_H_2
D2Mit132	MPC2523	Chr2	52.5 F	WC2.42	113_B_6 211_C_1 211_C_2 313_H_2
D2Mit392	MT4987	Chr2	52.5 F	WC2.40	240_C_7 356_E_5 434_G_5
D2Mit352.1		Chr2	52.5 P	WC2.40	140_C_7 193_H_3 288_A_11 323_B_11 323_C_11 349_C_3 379_F_10
D2Mit483	MTH1817	Chr2	52.5 F		164_A_9 173_A_3 412_D_7
D2Mit275	MT3173	Chr2	52.5 F	WC2.40	117_A_9 151_D_5 170_C_9 403_H_5 408_F_10
D2Mit187	MTH174	Chr2	52.5 P	WC2.40	409_F_12 434_G_5
D2Mit394.2		Chr2	53.6 P	WC2.42	193_B_6 215_F_12 357_D_5
D2Mit443	MTH1945	Chr2	53.6 F	WC2.42	165_F_10 193_B_6 211_C_1 211_C_2 215_F_12 321_A_5 329_C_4 348_A_9 357_D_5 377_D_8
D2Mit103	MPC413	Chr2	53.6 F	WC2.42	215_F_12 357_D_5 377_D_8
D2Mit189.2		Chr2	53.6 F	WC2.42	165_F_10 193_B_6 211_C_1 211_C_2 215_F_12 329_C_4 348_A_9 357_D_5 377_D_8
D2Mit393	MT5326	Chr2	53.6 F	WC2.42	193_B_6 215_F_12 357_D_5 420_A_1 440_F_3
D2Mit276	MT3141	Chr2	54.6 P	WC2.43	122_F_6 137_E_12 170_E_4 313_A_6 349_F_7 429_D_2 446_E_1 446_H_12 464_C_3
D2Mit63	A1132	Chr2	54.6 P		122_E_2 122_F_3 135_A_5 135_B_10 135_H_2 136_D_5 214_G_1 214_G_6 288_B_12 290_E_5
D2Mit62	D594	Chr2	54.6 F	WC2.57	115_B_5 133_C_10 133_G_9 140_E_6 149_F_7 153_D_6 255_D_11 289_G_10 289_H_8 305_E_2 446_E_1 450_H_5 462_D_3 463_G_11
D2Mit420	MTH508	Chr2	54.6 P	WC2.43	122_F_6 137_E_12 309_B_2 349_F_7 446_E_1 464_C_3
D2Mit104	MPC977	Chr2	55.7 F	WC2.43	162_F_7 178_G_4 281_H_8 310_C_6 418_A_4
D2Mit444	MTH1392	Chr2	55.7 F	WC2.43	122_F_6 217_G_10 281_H_8 349_F_7
D2Mit395	MT5393	Chr2	55.7 F	WC2.43	122_B_9 124_G_4 127_E_4 168_G_12 168_H_8 256_H_12 281_H_8 360_F_7 463_B_11
D2Mit133	MPC2139	Chr2	55.7 F	WC2.43	135_D_11 170_E_4 217_G_10 224_E_5 281_H_8 306_C_3 322_C_7 408_A_3 408_H_3 416_G_12 439_D_5
D2Mit190	MT1246	Chr2	56.8 F		141_C_12 180_B_1 286_F_9 386_A_2 388_E_10 431_E_4 454_G_9
D2Mit16.1		Chr2	56.8 F	WC2.44	128_E_7 158_E_4 345_H_2 390_B_5 395_E_4 416_F_8 452_D_9
D2Mit255	MT2405	Chr2	56.8 F	WC2.45	140_A_11 148_E_5 148_G_5 304_C_10 378_A_5 387_F_5 427_C_7
D2Mit337	MJ4263	Chr2	56.8 F	WC2.44	128_E_7 319_E_8 390_B_5 395_E_4 416_F_8 416_G_7 452_D_9
D2Mit397	MJ4670	Chr2	56.8 F	WC2.45	140_A_11 187_E_3 312_E_6 312_G_4 312_G_7 410_E_12 422_C_2 439_F_2 450_B_11
D2Mit17	M246	Chr2	56.8 F	WC2.45	140_A_11 187_E_3 281_C_11 281_E_4 312_E_6 312_G_4 410_E_12 415_H_6 439_F_2 450_B_11
D2Mit396	MJ4609	Chr2	56.8 F	WC2.45	140_A_11 168_B_5 187_E_3 311_D_12 312_B_1 312_E_6 312_F_6 312_G_4 410_E_12 418_G_8 439_F_2 450_B_11
D2Mit164	MT484	Chr2	56.8 P	WC2.45	140_A_11 378_A_5 387_F_5
D2Mit277	MT2333	Chr2	56.8 F	WC2.45	140_A_11 148_E_5 148_G_5 378_A_5 387_F_5
D2Mit485	MTH2434	Chr2	56.8 F		115_E_2 411_H_9
D2Mit256	MT1967	Chr2	57.9 F		133_F_8 278_E_2 360_G_9 395_E_2
D2Mit398	MT4857	Chr2	57.9 F	WC2.46	149_A_7 320_C_10 386_B_2
D2Mit105	MPC1285	Chr2	57.9 F	WC2.46	110_D_3 121_F_9 163_B_3 163_C_2 170_H_5 305_A_6 311_B_12 320_C_10 345_H_5 386_B_2 87_A_4
D2Mit486	MTH2338	Chr2	57.9 P	WC2.45	110_H_11 114_F_6 123_B_5 131_F_2 165_C_5 166_H_4 193_D_3 289_G_3 312_G_4 313_G_3 313_G_4 350_D_9 402_A_6 414_G_8 425_F_12 458_E_6
D2Mit278	MT3082	Chr2	57.9 F	WC2.45	123_B_5 297_E_2
D2Mit338	MT3641	Chr2	59.0 P		128_B_6 137_F_5 163_C_3 185_F_6 358_E_5 454_G_3
D2Mit487	MTH2467	Chr2	59.0 F	WC2.45	110_H_11 123_B_5 165_C_5 184_G_8 313_G_4 458_E_6
D2Mit304	MT3434	Chr2	59.0 F	WC2.45	110_H_11 114_E_9 123_B_5 139_F_12 179_C_5 185_G_8 187_F_8 187_G_8 193_C_3 283_A_5 356_A_4
D2Mit305.1		Chr2	60.1 F	WC2.45	114_E_9 185_G_8 326_H_2 387_G_3 391_C_6 403_D_12 441_B_9 442_A_9
D2Mit447	MTH2099	Chr2	60.1 P	WC2.45	114_E_9 169_B_9 183_G_3 184_B_8 326_H_2 387_G_3 403_D_12 425_F_12
D2Mit78	HPTP	Chr2	60.1 P		403_H_5
D2Mit77	B738	Chr2	61.2 P		150_F_6 181_H_11 266_H_1 356_B_6 356_B_7
D2Mit165	MPC2342	Chr2	61.2 F	WC2.47	123_D_5 281_G_5 325_D_4 406_F_6 452_H_4 87_H_2
D2Mit70	B554	Chr2	61.2 F	WC2.45	126_B_3 305_E_2 382_F_2 416_G_12
D2Mit106	MPC1901	Chr2	61.2 F	WC2.45	141_A_8 193_C_10 213_F_3 213_G_1 87_E_5
D2Mit224	MT1588	Chr2	61.2 F	WC2.45	121_D_7 122_C_12 124_C_3 156_H_2 165_G_5 169_G_8 326_H_2 376_F_3 391_C_6 396_G_5 442_A_9
D2Mit46.2		Chr2	61.2 F	WC2.45	113_E_11 121_F_8 277_F_4 398_C_9 421_H_9
D2Mit448	MTH1843	Chr2	61.2 F	WC2.45	171_G_5 177_F_10 352_F_6 360_G_11 398_H_4 417_E_7 433_F_5 447_H_2
D2Mit279	D1262	Chr2	61.2 F		301_A_8 420_D_7
D2Mit223	MT1570	Chr2	61.2 F		313_E_12
D2Mit193	MT1146	Chr2	61.2 P	WC2.45	121_F_8 171_G_5 277_F_4 360_G_11 398_H_4
D2Mit306	MT3396	Chr2	61.2 P	WC2.48	172_A_6 172_G_8 298_H_1 351_D_10 351_E_10
D2Mit192	MT1017	Chr2	61.2 F	WC2.45	126_B_3 305_E_2 352_D_3 416_G_12 430_A_9
D2Mit107	MPC1066	Chr2	61.2 P	WC2.45	113_E_11 126_B_3 164_F_7 169_D_7 305_E_2 351_H_4
D2Mit400	MJ4742	Chr2	61.2 F	WC2.48	172_A_6 188_A_9 298_H_1 304_E_2 437_E_1 87_H_5
D2Mit19.2		Chr2	61.2 F	WC2.45	121_F_8 171_G_5 277_F_4 316_C_8 360_C_11 360_G_11 421_H_9
D2Mit257	MT2257	Chr2	61.2 F		193_D_4 193_H_7 423_G_12 428_G_12
D2Mit488	MTH2920	Chr2	61.2 F	WC2.45	113_E_11 126_B_3 164_F_7 213_F_3 213_G_1 305_E_2 416_G_12 430_A_4 430_F_7
D2Mit258	MT2724	Chr2	62.3 P		121_F_1 121_F_2 217_B_1 223_D_10 240_F_9 240_G_10 455_D_4 456_F_6
D2Mit353	MT3666	Chr2	63.4 F	WC2.49	136_A_3 150_D_7 406_H_4
D2Mit108	MPC349	Chr2	63.4 F		406_E_5
D2Mit489.1		Chr2	64.5 P	WC2.27	133_C_12 188_C_10 297_D_7 329_H_4 350_E_4 408_C_1 414_G_4 425_G_1 426_G_1
D2Mit339	MT2775	Chr2	64.5 F		164_G_11 331_G_12
D2Mit490	MT4225	Chr2	64.5 F	WC2.49	110_A_1 136_A_3 166_B_5 328_C_4 393_E_8
D2Mit209.2		Chr2	64.5 F	WC2.49	110_A_1 136_A_3 166_B_5
D2Mit308	MT3493	Chr2	65.6 F	WC2.50	149_F_1 150_B_10 167_H_6 306_G_3 328_B_10 417_D_11 441_B_5
D2Mit166	MT295	Chr2	65.6 P	WC2.50	136_H_3 144_C_8 313_E_7 392_G_8
D2Mit212	MT1334	Chr2	65.6 F	WC2.50	149_F_1 150_B_10 167_H_6 306_G_3 328_B_10 417_D_11
D2Mit21	M184	Chr2	65.6 F	WC2.50	139_B_5 224_B_11 306_E_5 390_A_6 390_G_10 458_A_9 464_G_10
D2Mit401	MT5391	Chr2	65.6 F	WC2.50	170_C_8 328_B_10 417_D_11 433_A_2 441_B_5
D2Mit259	MT2157	Chr2	65.6 F	WC2.50	125_A_9 169_D_4 170_C_8 458_A_9
D2Mit422	MTH623	Chr2	65.6 F	WC2.50	126_B_6 144_C_8 151_D_12 167_H_6 170_C_4 179_H_9 313_E_7 382_F_6 405_D_1
D2Mit194	MT960	Chr2	66.7 F	WC2.50	120_C_6 120_F_10 240_A_5 324_C_10 324_H_2 356_F_3 420_G_3
D2Mit109	MPC856	Chr2	66.7 F		110_C_7 136_A_7 139_A_9 362_C_2
D2Mit280	MT3162	Chr2	66.7 F		122_E_3 138_C_9 256_D_2 304_F_8 416_E_5
D2Mit168.2		Chr2	66.7 F		110_A_11 158_F_10
D2Mit281	MT3181	Chr2	67.8 F	WC2.51	149_D_10 151_B_9 161_D_3 177_F_8 193_D_8 304_A_4 322_C_8 325_B_3 384_D_5 387_B_5 426_C_1 455_F_2
D2Mit57	A728	Chr2	67.8 P	WC2.51	149_D_10 177_F_8 325_B_3 361_B_5 384_D_5 440_E_12
D2Mit492	MTH2501	Chr2	67.8 F	WC2.51	149_D_10 151_B_9 177_F_8 213_A_12 213_B_12 325_B_3 361_B_5 384_D_5 440_E_12
D2Mit110	MPC581	Chr2	68.9 F	WC2.51	126_A_4 156_C_1 166_E_3 349_A_4 349_A_6 426_C_1 443_D_12 444_B_7
D2Mit408	MTH367	Chr2	68.9 F	WC2.51	126_A_4 166_E_3 316_E_11 341_B_6 443_D_12 444_B_7
D2Mit405	MJ4474	Chr2	68.9 F	WC2.51	161_D_3 177_F_8 193_D_8 304_A_4 322_B_8 322_C_8 325_B_3 387_B_5 425_D_1 426_C_1
D2Mit340	MT3848	Chr2	68.9 F	WC2.51	161_D_3 193_D_8 304_A_4 322_B_8 322_C_8 322_C_9 387_B_5 405_B_7 450_C_12
D2Mit47.2		Chr2	68.9 F	WC2.51	161_D_3 177_F_8 193_D_8 304_A_4 322_C_8 325_B_3 387_B_5 412_H_10 425_D_1 426_C_1
D2Mit282.1		Chr2	68.9 F	WC2.51	161_D_3 193_D_8 304_A_4 322_C_8 387_B_5 425_D_1 426_C_1
D2Mit407	MT4633	Chr2	68.9 F	WC2.51	151_B_9 161_D_3 177_F_8 193_D_8 304_A_4 325_B_3 425_D_1 426_C_1 455_F_2
D2Mit261	MT2536	Chr2	69.9 F	WC2.51	159_G_7 181_D_6
D2Mit283	MT2397	Chr2	69.9 F	WC2.51	136_E_5 139_C_3 156_C_1 159_G_7 160_G_3 173_H_11 181_D_2 181_D_6 298_C_8 349_A_4 349_A_6 360_D_2 438_A_3
D2Mit309	MT3524	Chr2	71.0 F	WC2.52	159_F_8 303_A_4
D2Mit22	M167	Chr2	71.0 F	WC2.52	199_E_7 286_C_4 303_A_4 361_F_8
D2Mit424	MTH593	Chr2	71.0 F	WC2.52	199_E_7 286_C_4 303_A_4 361_F_8 387_C_8 450_H_3
D2Mit139	MPC2362	Chr2	72.1 F	WC2.52	240_E_5 387_E_4 415_F_5
D2Mit59	A1088	Chr2	72.1 F	WC2.53	170_D_9 391_B_2
D2Mit140	MPC2190	Chr2	72.1 P	WC2.52	199_E_7 303_A_4 326_F_4 450_H_3
D2Mit284.4		Chr2	72.1 F		442_B_8
D2Mit493	MTH2822	Chr2	72.1 F	WC2.53	170_D_9 305_B_5 305_H_1 391_B_2
D2Mit450	MTH906	Chr2	72.1 F	WC2.52	159_F_8 240_E_5 325_B_2
D2Mit262	MT2417	Chr2	73.2 F	WC2.54	127_E_7 183_H_4 281_A_5 448_A_11
D2Mit286	MT2519	Chr2	73.2 F	WC2.54	125_A_5 295_G_7 345_E_6 345_G_9 382_E_12 443_D_4
D2Mit494	MJ5351	Chr2	73.2 F	WC2.54	179_G_12 181_B_4 183_H_4 345_A_12 345_C_11 356_E_1 409_D_6 448_A_11
D2Mit451	MTH1558	Chr2	73.2 F	WC2.54	117_C_1 119_B_10 127_E_7 149_B_5 179_G_12 183_H_4 187_G_1 240_A_7 312_E_7 345_A_1 345_A_12 345_C_11 377_A_10 384_B_7 448_A_11
D2Mit48	A694	Chr2	73.2 F	WC2.54	127_E_7
D2Mit27.1		Chr2	73.2 P	WC2.54	117_C_1 121_B_3 179_G_12 289_E_11 344_E_6 345_A_12 345_C_11 382_E_12 384_B_7
D2Mit225	MT1812	Chr2	74.3 F		116_B_12
D2Mit347	MT2825	Chr2	74.3 P	WC2.55	119_B_4 149_C_4 169_G_7 376_G_6 433_C_2
D2Mit409	MTH443	Chr2	74.3 F		118_A_8 127_G_1 170_B_10 172_A_8 285_A_4 378_E_10 389_A_10 396_B_8 452_F_7 452_G_6 465_A_9
D2Mit55	A686	Chr2	74.3 F		392_C_5
D2Mit287	MT3200	Chr2	77.6 F	WC2.56	133_F_6 173_E_7 179_A_4 198_C_9 309_E_1 406_F_4 448_B_7
D2Mit411	MTH344	Chr2	77.6 F	WC2.56	133_F_6 398_C_3 398_E_5 406_F_4 418_A_5 424_C_4 448_B_7
D2Mit341	MT3932	Chr2	77.6 P	WC2.56	418_A_5 424_C_4 437_A_7 448_B_7
D2Mit410	MT4988	Chr2	78.7 F	WC2.56	317_F_8 362_G_7 376_A_8 406_F_4 424_C_4
D2Mit453	MTH1791	Chr2	78.7 F	WC2.56	120_H_9 317_F_8 345_E_9 376_A_8 409_A_8
D2Mit412	MTH489	Chr2	78.7 F	WC2.57	161_D_7 390_A_11 398_D_2 418_E_9
D2Mit143	MPC2655	Chr2	78.7 P	WC2.56	120_H_9 330_E_1 341_C_1 345_E_9 376_A_8
D2Mit197	MT1150	Chr2	78.7 F	WC2.56	144_A_8 171_G_1 187_H_1 342_A_2 345_E_9 434_F_6
D2Mit142	MPC2270	Chr2	78.7 P	WC2.56	124_B_10 144_A_8 156_F_3 163_B_10 171_G_1 187_H_1 203_F_2 239_C_12 256_B_4 312_C_2 342_A_2 342_A_3 345_E_9 410_G_11
D2Mit196	MT641	Chr2	78.7 P	WC2.56	120_H_9 313_G_7 345_E_9 376_A_8 440_B_6
D2Mit50	P67	Chr2	79.8 P	WC2.57	150_A_6 173_A_9 173_F_1 319_F_6 341_E_7 361_H_1 362_E_1
D2Mit51	A724	Chr2	79.8 P	WC2.57	113_H_5 115_F_6 159_E_10 170_G_10 240_D_5 311_F_6 342_H_3 411_H_6 417_H_2 419_C_12 456_A_11
D2Mit49	B353	Chr2	79.8 P	WC2.57	170_G_10 277_E_1 306_E_8 414_F_2 456_A_11
D2Mit29	d115	Chr2	80.9 F		326_H_5 331_F_8 393_H_5 422_A_4
D2Mit170	MT408	Chr2	80.9 F	WC2.57	147_H_12 173_A_9 390_A_11 456_A_11
D2Mit454	MTH1534	Chr2	80.9 F	WC2.57	120_B_12 184_B_7 289_G_4 350_E_12 463_C_1
D2Mit226	MT1846	Chr2	80.9 F	WC2.57	439_A_12
D2Mit71	B492	Chr2	80.9 F	WC2.57	115_B_6 170_G_10 289_G_4 398_B_3
D2Mit227	MT1930	Chr2	83.1 F	WC2.57	184_B_7 433_F_7
D2Mit311	MT3522	Chr2	83.1 F		164_C_3 177_D_8 177_G_8 437_E_3 449_F_11
D2Mit289	MT2686	Chr2	83.1 P		378_B_9
D2Mit342	MT4207	Chr2	83.1 F	WC2.57	121_G_12 184_B_7 187_B_5 331_F_2 349_G_7 433_F_7 461_B_6
D2Mit171	D1208	Chr2	83.1 F		319_E_12
D2Mit290.4		Chr2	83.1 P	WC2.57	168_A_10 170_G_10 414_F_2 439_A_12
D2Mit145	MPC2448	Chr2	84.2 P	WC2.60	141_H_10 150_F_4
D2Mit413	MTH493	Chr2	84.2 F	WC2.59	138_E_4 411_D_1
D2Mit343	MT2210	Chr2	84.2 F	WC2.58	113_B_4 134_D_9 177_F_1 178_B_8 285_B_6 342_A_2
D2Mit415	MT5321	Chr2	85.2 F	WC2.61	134_A_12 138_B_9 148_G_1 200_H_6 239_A_5 239_C_2 239_C_3
D2Mit52	B204	Chr2	85.2 F		441_C_12 452_G_8
D2Mit228	MT1534	Chr2	85.2 P	WC2.60	141_H_10 150_F_4
D2Mit344	MT3726	Chr2	85.2 F	WC2.62	156_G_7 215_D_6 274_H_7 329_A_12 381_F_8 385_C_2 402_C_8 416_H_12
D2Mit229	MT1869	Chr2	85.2 P	WC2.58	113_B_4 124_A_9 129_A_9 132_H_5 150_H_11 178_F_8
D2Mit291.2		Chr2	85.2 F		199_A_3
D2Mit25	A67	Chr2	85.2 F	WC2.62	156_G_7 185_A_4 215_D_6 301_H_6 329_A_12 416_H_12 419_E_3 433_G_1
D2Mit112	MPC1567	Chr2	85.2 F	WC2.61	134_A_12 148_G_1 200_H_6 342_A_7 377_G_8 398_B_4
D2Mit456	MTH977	Chr2	86.3 F	WC2.58	113_B_4 150_E_8 285_B_6
D2Mit502	MJ5345	Chr2	87.4 F	WC2.63	279_C_5 379_D_12 386_D_7
D2Mit113	MPC320	Chr2	87.4 F	WC2.63	279_C_5 379_D_12 402_A_2 409_B_11 411_H_9
D2Mit147	MPC2268	Chr2	88.5 F		266_A_2 325_F_3 349_C_8 382_C_7 452_G_7
D2Mit114	MPC630	Chr2	91.8 F	WC2.65	113_A_3 126_C_7 136_G_9 326_G_10 331_F_6 356_A_6 356_G_2
D2Mit504	MTH2310	Chr2	91.8 F	WC2.65	126_C_7 136_G_9 183_B_11 312_E_6 326_G_10 343_C_7 396_E_10 419_G_6
D2Mit265	MT2214	Chr2	91.8 F	WC2.64	132_D_12 214_F_8 282_B_6 282_C_7 289_E_11 297_H_9 333_C_6 333_C_9 386_A_7 388_E_1 393_D_9 396_A_3 435_H_8 452_A_3
D2Mit503	MTH2308	Chr2	91.8 F		122_C_3 151_H_4 159_F_6 178_H_12 309_G_12 319_C_6 319_H_4
D2Mit174	MT870	Chr2	91.8 F	WC2.65	326_G_10 396_E_10 435_E_5 464_B_10
D2Mit213	MT1501	Chr2	91.8 F	WC2.64	282_B_6 282_C_7 289_E_11 393_D_9 410_A_9
D2Mit148	MMH245	Chr2	91.8 F	WC2.65	136_G_9 139_C_7 156_E_7 183_B_11 319_D_11 326_G_10 441_A_6 441_A_7 459_B_12
D2Mit73	B512	Chr2	91.8 F	WC2.65	126_C_7 183_B_11 326_G_10 385_G_10 396_E_10 464_B_10
D2Mit199	MT736	Chr2	91.8 F	WC2.64	132_D_12 133_D_12 170_A_6 282_F_10 393_D_9 396_A_3 430_C_4
D2Mit345	MT3675	Chr2	91.8 F	WC2.64	125_D_12 132_D_12 132_D_6 137_D_6 144_A_1 147_G_10 152_E_5 185_H_2 212_A_1 282_B_6 393_D_9 419_D_11
D2Mit505	MTH1661	Chr2	91.8 F	WC2.64	282_F_10 393_A_5 396_A_3 420_A_6
D2Mit230	MT1572	Chr2	97.3 F	WC2.66	188_A_3 310_F_9
D2Mit507	MTH2993	Chr2	97.3 P		387_F_4 398_C_11
D2Mit200	MT954	Chr2	97.3 F		158_E_5 308_D_2 330_A_8 419_A_1 419_G_4
D2Mit266	MT2735	Chr2	98.4 F	WC2.66	211_A_4 321_B_6 388_E_6 412_A_7 430_A_7
D2Mit74	B599	Chr2	98.4 F	WC2.66	121_E_1 171_C_9 185_C_8 188_A_3 211_A_4 321_E_9 359_G_4 410_A_7 435_C_3 436_G_3
D3Mit362	MT1813	Chr3		WC3.11	144_D_2 183_G_7 212_E_4 290_H_3 386_E_6 424_D_11 427_D_11 451_H_3
D3Mit167.2		Chr3		WC3.45	126_F_1 156_E_6 177_A_9 211_G_5 218_D_9 343_A_10
D3Mit149.1		Chr3		WC3.1	120_B_7 131_B_2 150_D_6 346_B_7 385_H_5 388_E_2
D3Mit177.1		Chr3		WC3.5	126_H_7 341_A_5
D3Mit361	MPC2063	Chr3		WC3.36	119_A_1 124_F_6 137_E_12 144_A_9 185_G_6 199_E_7 286_C_4 303_C_4 307_C_11 307_D_5 378_C_5 386_B_3 386_F_5 421_E_2 434_B_1
D3Mit150.2		Chr3		WC3.2	120_G_1 140_A_5 362_C_7 391_B_5 391_E_5
D3Mit206.1		Chr3		WC3.44	173_F_11 193_B_4 462_F_9
D3Mit368	MTH1203	Chr3		WC3.40	333_G_9 416_E_8 418_C_8 418_H_9 446_E_6 454_G_1
D3Mit130.3		Chr3			121_B_2 352_C_8
D3Mit367	MTAR188	Chr3		WC3.0	152_F_2 255_B_2 316_B_11 350_E_1 395_A_2 438_A_2
D3Mit60.1		Chr3		WC3.1	131_B_2 150_D_6 199_B_6 283_H_3 346_B_7 388_E_2
D3Mit164.2		Chr3		WC3.1	131_B_2 152_E_9 171_E_3 187_E_10 300_F_2 385_H_5 395_A_6 457_H_3 463_B_4
D3Mit92.1		Chr3		WC3.0	113_C_11 114_D_3 148_D_3 152_F_2 198_D_2 255_B_2 316_B_11 362_A_5 388_E_4
D3Mit46.3		Chr3		WC3.43	304_B_3 312_D_11 316_F_3 417_G_1
D3Mit181.2		Chr3		WC3.44	127_E_5 193_B_4 307_F_2 462_F_9
