01.MMHAP28FLA1.seq	WC-724
D13Mit174	WC-37
D13Mit176	WC-892
D13Mit177	WC-1038
D13Mit178	WC-442
D13Mit179	WC-442
D13Mit18	WC-648
D13Mit180	WC-442
D13Mit181	WC-442
D13Mit182	WC-429
D13Mit184	WC-107
D13Mit186	WC-773
D13Mit189	WC-872
D13Mit19	WC-442
D13Mit190.2	WC-1242
D13Mit191	WC-451
D13Mit194	WC-1238
D13Mit195	WC-250
D13Mit196	WC-585
D13Mit197	WC-892
D13Mit198	WC-330
D13Mit199	WC-499
D13Mit20	WC-319
D13Mit201	WC-67
D13Mit203.2	WC-250
D13Mit204	WC-763
D13Mit205	WC-899
D13Mit206	WC-837
D13Mit208	WC-107
D13Mit209	WC-773
D13Mit21	WC-319
D13Mit210	WC-872
D13Mit213	WC-1131
D13Mit214	WC-743
D13Mit216	WC-397
D13Mit218	WC-548
D13Mit219	WC-548
D13Mit219.2	WC-548
D13Mit220	WC-892
D13Mit222	WC-215
D13Mit223	WC-773
D13Mit225	WC-67
D13Mit227	WC-286
D13Mit228	WC-585
D13Mit229	WC-266
D13Mit23	WC-319
D13Mit230	WC-13
D13Mit231	WC-67
D13Mit234	WC-506
D13Mit235	WC-1033
D13Mit237	WC-452
D13Mit238.1	WC-37
D13Mit24	WC-872
D13Mit241	WC-330
D13Mit242	WC-330
D13Mit243	WC-442
D13Mit244	WC-442
D13Mit245	WC-442
D13Mit247	WC-771
D13Mit248	WC-215
D13Mit249	WC-215
D13Mit25	WC-872
D13Mit250	WC-107
D13Mit251	WC-107
D13Mit252	WC-773
D13Mit254	WC-660
D13Mit255	WC-828
D13Mit256	WC-67
D13Mit26	WC-872
D13Mit261	WC-585
D13Mit262.2	WC-585
D13Mit263	WC-743
D13Mit264	WC-452
D13Mit265	WC-829
D13Mit267	WC-442
D13Mit268	WC-429
D13Mit269	WC-429
D13Mit270	WC-250
D13Mit271	WC-548
D13Mit273	WC-892
D13Mit274	WC-648
D13Mit276	WC-442
D13Mit277	WC-442
D13Mit278	WC-429
D13Mit279	WC-773
D13Mit28	WC-543
D13Mit280	WC-764
D13Mit281	WC-1087
D13Mit282	WC-773
D13Mit283	WC-785
D13Mit284	WC-872
D13Mit285	WC-451
D13Mit286	WC-439
D13Mit287	WC-506
D13Mit29	WC-1015
D13Mit291	WC-449
D13Mit292	WC-13
D13Mit293	WC-585
D13Mit296	WC-1038
D13Mit298	WC-1034
D13Mit3	WC-141
D13Mit30	WC-250
D13Mit301	WC-238
D13Mit302	WC-238
D13Mit303	WC-37
D13Mit304	WC-397
D13Mit305	WC-37
D13Mit306	WC-37
D13Mit307	WC-829
D13Mit308	WC-442
D13Mit312	WC-660
D13Mit313	WC-764
D13Mit316	WC-250
D13Mit318.2	WC-773
D13Mit34	WC-442
D13Mit35	WC-512
D13Mit36	WC-250
D13Mit37	WC-250
D13Mit38	WC-1038
D13Mit39	WC-785
D13Mit4	WC-648
D13Mit40	WC-921
D13Mit41	WC-872
D13Mit43	WC-773
D13Mit45	WC-286
D13Mit47	WC-506
D13Mit48	WC-872
D13Mit49	WC-442
D13Mit53.4	WC-585
D13Mit56	WC-37
D13Mit57	WC-37
D13Mit58	WC-892
D13Mit59	WC-1038
D13Mit60	WC-648
D13Mit64	WC-442
D13Mit66	WC-1221
D13Mit68	WC-67
D13Mit69	WC-1034
D13Mit7	WC-773
D13Mit70	WC-250
D13Mit71	WC-250
D13Mit72	WC-250
D13Mit74	WC-250
D13Mit75	WC-286
D13Mit76	WC-449
D13Mit77	WC-763
D13Mit78	WC-512
D13Mit79	WC-1208
D13Mit81	WC-837
D13Mit84	WC-892
D13Mit85	WC-648
D13Mit87	WC-1038
D13Mit88	WC-1038
D13Mit89	WC-778
D13Mit9	WC-730
D13Mit90	WC-499
D13Mit91	WC-442
D13Mit92	WC-442
D13Mit93	WC-429
D13Mit94	WC-499
D13Mit97	WC-67
D13Mit99	WC-67
D14Mit10	WC-247
D14Mit101	WC-685
D14Mit102	WC-656
D14Mit104	WC-1130
D14Mit105	WC-318
D14Mit108	WC-247
D14Mit11	WC-247
D14Mit111.3	WC-206
D14Mit113	WC-836
D14Mit117	WC-1063
D14Mit118	WC-507
D14Mit119	WC-364
D14Mit120	WC-409
D14Mit121	WC-740
D14Mit122	WC-398
D14Mit123	WC-656
D14Mit124	WC-510
D14Mit125	WC-713
D14Mit126	WC-364
D14Mit129	WC-812
D14Mit130	WC-685
D14Mit133	WC-73
D14Mit134	WC-812
D14Mit135	WC-607
D14Mit136	WC-607
D14Mit137	WC-364
D14Mit138	WC-364
D14Mit139.2	WC-411
D14Mit14	WC-1083
D14Mit141	WC-812
D14Mit142	WC-97
D14Mit143	WC-619
D14Mit144	WC-1130
D14Mit147.1	WC-403
D14Mit149	WC-409
D14Mit15	WC-642
D14Mit150	WC-568
D14Mit151	WC-411
D14Mit153	WC-398
D14Mit154	WC-398
D14Mit155	WC-836
D14Mit158	WC-619
D14Mit159	WC-619
D14Mit160	WC-588
D14Mit163	WC-487
D14Mit164	WC-487
D14Mit166	WC-48
D14Mit167	WC-48
D14Mit168	WC-48
D14Mit169	WC-393
D14Mit170	WC-48
D14Mit171	WC-300
D14Mit176	WC-318
D14Mit177	WC-507
D14Mit18	WC-740
D14Mit183	WC-411
D14Mit184	WC-970
D14Mit185	WC-507
D14Mit186	WC-73
D14Mit188	WC-642
D14Mit189	WC-5
D14Mit194	WC-1207
D14Mit195	WC-713
D14Mit196	WC-1130
D14Mit197	WC-48
D14Mit199	WC-507
D14Mit200	WC-661
D14Mit201	WC-206
D14Mit204	WC-970
D14Mit205	WC-48
D14Mit206	WC-300
D14Mit207	WC-364
D14Mit208	WC-364
D14Mit208.1	WC-364
D14Mit210	WC-206
D14Mit211	WC-411
D14Mit212	WC-680
D14Mit214	WC-685
D14Mit215	WC-398
D14Mit216	WC-510
D14Mit217	WC-510
D14Mit219	WC-666
D14Mit224	WC-749
D14Mit225	WC-749
D14Mit229	WC-684
D14Mit230	WC-364
D14Mit232	WC-411
D14Mit233	WC-411
D14Mit234	WC-836
D14Mit235	WC-1123
D14Mit236	WC-510
D14Mit237	WC-510
D14Mit238	WC-749
D14Mit239	WC-749
D14Mit246	WC-411
D14Mit249	WC-25
D14Mit25	WC-1155
D14Mit250	WC-684
D14Mit251	WC-300
D14Mit252	WC-364
D14Mit255	WC-411
D14Mit256	WC-411
D14Mit257	WC-411
D14Mit259	WC-97
D14Mit260	WC-97
D14Mit261	WC-398
D14Mit262	WC-619
D14Mit266	WC-607
D14Mit267	WC-607
D14Mit269	WC-487
D14Mit27	WC-1155
D14Mit270	WC-73
D14Mit271	WC-411
D14Mit272	WC-198
D14Mit275	WC-860
D14Mit28	WC-619
D14Mit3	WC-568
D14Mit30	WC-619
D14Mit31	WC-1123
D14Mit32	WC-510
D14Mit33	WC-510
D14Mit38	WC-487
D14Mit39	WC-619
D14Mit4	WC-740
D14Mit40	WC-25
D14Mit43	WC-25
D14Mit45	WC-5
D14Mit5	WC-836
D14Mit50	WC-300
D14Mit51	WC-206
D14Mit53	WC-409
D14Mit54	WC-409
D14Mit55	WC-73
D14Mit56	WC-411
D14Mit57	WC-411
D14Mit58	WC-411
D14Mit59	WC-812
D14Mit6.1	WC-619
D14Mit60	WC-812
D14Mit62	WC-411
D14Mit64	WC-890
D14Mit67	WC-588
D14Mit68	WC-588
D14Mit69	WC-1191
D14Mit7	WC-666
D14Mit71	WC-1255
D14Mit72	WC-1062
D14Mit73	WC-198
D14Mit74	WC-1063
D14Mit75	WC-507
D14Mit76	WC-507
D14Mit77	WC-607
D14Mit78.1	WC-893
D14Mit79	WC-5
D14Mit8	WC-318
D14Mit80	WC-411
D14Mit82	WC-97
D14Mit83	WC-398
D14Mit84.1	WC-890
D14Mit84.2	WC-890
D14Mit85	WC-510
D14Mit86	WC-619
D14Mit87	WC-619
D14Mit88	WC-1123
D14Mit9	WC-661
D14Mit91	WC-1191
D14Mit93	WC-487
D14Mit97	WC-860
D14Mit99	WC-893
D15Mit10	WC-483
D15Mit100	WC-1110
D15Mit102	WC-980
D15Mit103	WC-1166
D15Mit104	WC-466
D15Mit105	WC-417
D15Mit106	WC-394
D15Mit108	WC-1250
D15Mit110	WC-294
D15Mit112	WC-450
D15Mit113	WC-152
D15Mit115	WC-632
D15Mit116	WC-349
D15Mit117	WC-406
D15Mit120	WC-116
D15Mit121	WC-349
D15Mit121.1	WC-349
D15Mit122	WC-1166
D15Mit123	WC-394
D15Mit124	WC-1246
D15Mit124.2	WC-1246
D15Mit126	WC-1140
D15Mit127	WC-294
D15Mit128	WC-1021
D15Mit129	WC-354
D15Mit13	WC-1224
D15Mit131	WC-462
D15Mit132	WC-632
D15Mit133	WC-1166
D15Mit134	WC-1118
D15Mit136	WC-462
D15Mit137	WC-1140
D15Mit138	WC-116
D15Mit14	WC-688
D15Mit140	WC-116
D15Mit141	WC-116
D15Mit142	WC-116
D15Mit143	WC-1110
D15Mit144	WC-724
D15Mit145	WC-466
D15Mit146	WC-1240
D15Mit148	WC-688
D15Mit153	WC-152
D15Mit154	WC-227
D15Mit156	WC-466
D15Mit158	WC-995
D15Mit159	WC-155
D15Mit165	WC-695
D15Mit167	WC-1021
D15Mit171	WC-211
D15Mit172	WC-211
D15Mit174	WC-1224
D15Mit176	WC-727
D15Mit177	WC-727
D15Mit178	WC-354
D15Mit18	WC-1125
D15Mit180	WC-462
D15Mit181	WC-711
D15Mit183	WC-698
D15Mit184	WC-632
D15Mit185	WC-724
D15Mit186	WC-466
D15Mit187	WC-406
D15Mit193	WC-276
D15Mit196	WC-1021
D15Mit20	WC-717
D15Mit200	WC-1029
D15Mit201	WC-462
D15Mit202	WC-462
D15Mit203	WC-462
D15Mit205	WC-1098
D15Mit207	WC-1021
D15Mit207.1	WC-1021
D15Mit209	WC-1021
D15Mit21	WC-1125
D15Mit210	WC-1021
D15Mit212	WC-724
D15Mit213	WC-724
D15Mit214	WC-995
D15Mit215.1	WC-1118
D15Mit216	WC-155
D15Mit217	WC-806
D15Mit218	WC-276
D15Mit22.1	WC-695
D15Mit220	WC-1098
D15Mit221	WC-1110
D15Mit222	WC-995
D15Mit223.1	WC-806
D15Mit223.2	WC-806
D15Mit224	WC-964
D15Mit225	WC-483
D15Mit226	WC-1029
D15Mit227	WC-227
D15Mit228	WC-1110
D15Mit229	WC-564
D15Mit229.2	WC-564
D15Mit230	WC-698
D15Mit231	WC-698
D15Mit232	WC-538
D15Mit234	WC-980
D15Mit236	WC-1240
D15Mit238	WC-1228
D15Mit24	WC-564
D15Mit241	WC-155
D15Mit242	WC-211
D15Mit243	WC-806
D15Mit244	WC-1250
D15Mit245	WC-1250
D15Mit248	WC-964
D15Mit249	WC-462
D15Mit25	WC-538
D15Mit252	WC-1029
D15Mit253	WC-294
D15Mit254	WC-450
D15Mit255	WC-711
D15Mit256	WC-695
D15Mit257.2	WC-724
D15Mit259	WC-1228
D15Mit26.1	WC-698
D15Mit262	WC-155
D15Mit263	WC-688
D15Mit265	WC-581
D15Mit268	WC-227
D15Mit27	WC-1021
D15Mit270	WC-1166
D15Mit270.1	WC-1166
D15Mit275	WC-727
D15Mit276	WC-462
D15Mit28	WC-406
D15Mit3	WC-724
D15Mit31	WC-999
D15Mit32	WC-999
D15Mit33	WC-1118
D15Mit34	WC-211
D15Mit37	WC-155
D15Mit41	WC-276
D15Mit45	WC-717
D15Mit46	WC-1021
D15Mit47	WC-466
D15Mit48	WC-276
D15Mit49	WC-695
D15Mit50	WC-1021
D15Mit51	WC-727
D15Mit52	WC-1029
D15Mit53	WC-581
D15Mit55	WC-711
D15Mit56	WC-1098
D15Mit57	WC-1098
D15Mit59	WC-152
D15Mit6.1	WC-450
D15Mit60	WC-227
D15Mit61	WC-349
D15Mit62	WC-980
D15Mit64	WC-980
D15Mit65	WC-980
D15Mit66	WC-724
D15Mit67	WC-466
D15Mit69	WC-999
D15Mit71	WC-1228
D15Mit75	WC-376
D15Mit77	WC-688
D15Mit8.2	WC-711
D15Mit80	WC-964
D15Mit81	WC-354
D15Mit82	WC-462
D15Mit84	WC-116
D15Mit85	WC-116
D15Mit88	WC-1021
D15Mit9	WC-294
D15Mit90	WC-724
D15Mit91	WC-466
D15Mit92	WC-466
D15Mit93	WC-417
D15Mit95	WC-995
D15Mit96	WC-155
D15Mit98	WC-462
D16Mit1	WC-704
D16Mit102	WC-953
D16Mit103	WC-1218
D16Mit104	WC-1178
D16Mit105	WC-611
D16Mit107	WC-712
D16Mit108	WC-712
D16Mit109	WC-94
D16Mit11	WC-448
D16Mit11.2	WC-448
D16Mit110	WC-30
D16Mit112	WC-606
D16Mit114	WC-530
D16Mit116	WC-145
D16Mit117.1	WC-145
D16Mit119	WC-1195
D16Mit12.2	WC-464
D16Mit121	WC-712
D16Mit122	WC-712
D16Mit123	WC-790
D16Mit124.1	WC-567
D16Mit126	WC-937
D16Mit126.2	WC-937
D16Mit128	WC-618
D16Mit13	WC-464
D16Mit130	WC-712
D16Mit131.3	WC-712
D16Mit133.1	WC-790
D16Mit135	WC-464
D16Mit136	WC-725
D16Mit140	WC-1185
D16Mit141.2	WC-145
D16Mit144	WC-570
D16Mit145	WC-570
D16Mit146.2	WC-953
D16Mit15	WC-571
D16Mit150	WC-530
D16Mit157	WC-1112
D16Mit159	WC-712
D16Mit160	WC-712
D16Mit163	WC-712
D16Mit164	WC-1132
D16Mit166	WC-30
D16Mit167	WC-606
D16Mit168	WC-1112
D16Mit169	WC-388
D16Mit170	WC-571
D16Mit172	WC-1222
D16Mit18.1	WC-638
D16Mit18.2	WC-638
D16Mit180	WC-1263
D16Mit181	WC-712
D16Mit182	WC-712
D16Mit183	WC-94
D16Mit184	WC-1251
D16Mit185.2	WC-617
D16Mit188	WC-410
D16Mit188.1	WC-410
D16Mit19	WC-382
D16Mit190	WC-563
D16Mit191	WC-233
D16Mit192.2	WC-712
D16Mit194	WC-725
D16Mit195	WC-725
D16Mit196	WC-571
D16Mit198	WC-39
D16Mit20	WC-188
D16Mit201	WC-1222
D16Mit202	WC-145
D16Mit208	WC-704
D16Mit209	WC-953
D16Mit210	WC-567
D16Mit212	WC-1178
D16Mit214	WC-571
D16Mit215	WC-611
D16Mit216	WC-1157
D16Mit217	WC-1060
D16Mit219	WC-188
D16Mit221	WC-1251
D16Mit222	WC-611
D16Mit226	WC-448
D16Mit229	WC-30
D16Mit27	WC-530
D16Mit28	WC-570
D16Mit29	WC-570
D16Mit3	WC-904
D16Mit32	WC-1263
D16Mit33	WC-94
D16Mit34	WC-700
D16Mit35	WC-704
D16Mit38.1	WC-779
D16Mit39	WC-56
D16Mit4	WC-448
D16Mit40	WC-56
D16Mit41	WC-56
D16Mit42	WC-571
D16Mit45	WC-571
D16Mit49	WC-382
D16Mit5	WC-1149
D16Mit50	WC-382
D16Mit51	WC-618
D16Mit52	WC-618
D16Mit54	WC-712
D16Mit55	WC-712
D16Mit56	WC-700
D16Mit57	WC-904
D16Mit58	WC-1218
D16Mit59	WC-464
D16Mit61	WC-571
D16Mit62	WC-571
D16Mit63	WC-571
D16Mit64	WC-1149
D16Mit67	WC-1185
D16Mit69	WC-209
D16Mit7	WC-1194
D16Mit70	WC-1194
D16Mit71	WC-814
D16Mit72	WC-712
D16Mit73	WC-1100
D16Mit73.1	WC-1100
D16Mit74.1	WC-290
D16Mit75	WC-448
D16Mit76	WC-611
D16Mit78	WC-1060
D16Mit79	WC-712
D16Mit8	WC-712
D16Mit81	WC-1132
D16Mit82	WC-464
D16Mit82.2	WC-464
D16Mit83	WC-56
D16Mit85	WC-571
D16Mit85.2	WC-571
D16Mit86	WC-618
D16Mit87	WC-94
D16Mit88	WC-1100
D16Mit89	WC-904
D16Mit9	WC-712
D16Mit90	WC-464
D16Mit91	WC-571
D16Mit92	WC-617
D16Mit95	WC-188
D16Mit99	WC-448
D17Mit104	WC-832
D17Mit106	WC-1137
D17Mit109	WC-1262
D17Mit110	WC-373
D17Mit111	WC-222
D17Mit111.2	WC-222
D17Mit114	WC-217
D17Mit117	WC-1137
D17Mit118	WC-373
D17Mit119	WC-636
D17Mit121	WC-12
D17Mit123.2	WC-1019
D17Mit124	WC-166
D17Mit126	WC-832
D17Mit127	WC-1065
D17Mit131	WC-217
D17Mit134	WC-22
D17Mit141	WC-920
D17Mit143.2	WC-115
D17Mit148	WC-832
D17Mit151	WC-373
D17Mit153	WC-1254
D17Mit158.1	WC-4
D17Mit158.3	WC-4
D17Mit159	WC-985
D17Mit160	WC-985
D17Mit162.2	WC-109
D17Mit169	WC-1254
D17Mit170	WC-115
D17Mit18	WC-115
D17Mit185	WC-1197
D17Mit186	WC-920
D17Mit187	WC-12
D17Mit188	WC-432
D17Mit189	WC-1046
D17Mit190	WC-1046
D17Mit190.1	WC-1046
D17Mit193	WC-636
D17Mit2	WC-1009
D17Mit203	WC-729
D17Mit204	WC-373
D17Mit204.3	WC-373
D17Mit206	WC-920
D17Mit207	WC-358
D17Mit208	WC-358
D17Mit209	WC-432
D17Mit211	WC-1046
D17Mit219	WC-1065
D17Mit220	WC-12
D17Mit234	WC-1205
D17Mit242	WC-12
D17Mit243	WC-432
D17Mit246	WC-115
D17Mit251	WC-1174
D17Mit258	WC-1009
D17Mit259	WC-217
D17Mit260	WC-604
D17Mit263	WC-166
D17Mit27	WC-217
D17Mit272	WC-832
D17Mit3	WC-1197
D17Mit41	WC-109
D17Mit41.1	WC-109
D17Mit42	WC-12
D17Mit5	WC-729
D17Mit54	WC-636
D17Mit56	WC-1046
D17Mit71	WC-636
D17Mit72	WC-12
D17Mit73	WC-358
D17Mit74	WC-358
D17Mit75	WC-109
D17Mit76	WC-1046
D17Mit83.1	WC-935
D17Mit83.2	WC-935
D17Mit90	WC-373
D17Mit94	WC-1065
D18Mit1	WC-843
D18Mit10.2	WC-1119
D18Mit100.2	WC-1184
D18Mit103	WC-80
D18Mit103.1	WC-80
D18Mit103.2	WC-80
D18Mit105	WC-1119
D18Mit107	WC-14
D18Mit112	WC-962
D18Mit113	WC-1080
D18Mit114.2	WC-1080
D18Mit115.2	WC-843
D18Mit118	WC-386
D18Mit12	WC-1017
D18Mit120	WC-1017
D18Mit121	WC-731
D18Mit123.2	WC-731
D18Mit127.2	WC-719
D18Mit128.2	WC-998
D18Mit129.1	WC-719
D18Mit129.2	WC-719
D18Mit134	WC-74
D18Mit135	WC-74
D18Mit137	WC-1217
D18Mit138.1	WC-1119
D18Mit139	WC-35
D18Mit14	WC-74
D18Mit140	WC-162
D18Mit142	WC-601
D18Mit148	WC-634
D18Mit149	WC-146
D18Mit15	WC-386
D18Mit150.1	WC-1119
D18Mit151.1	WC-35
D18Mit152	WC-35
D18Mit154	WC-601
D18Mit154.1	WC-601
D18Mit159	WC-669
D18Mit161	WC-14
D18Mit17.1	WC-74
D18Mit17.2	WC-74
D18Mit170	WC-112
D18Mit172	WC-558
D18Mit174	WC-691
D18Mit175.1	WC-474
D18Mit176	WC-844
D18Mit179	WC-1088
D18Mit182	WC-14
D18Mit183	WC-281
D18Mit183.1	WC-281
D18Mit184	WC-14
D18Mit185	WC-664
D18Mit188	WC-162
D18Mit192	WC-72
D18Mit193	WC-74
D18Mit193.1	WC-74
D18Mit193.2	WC-74
D18Mit197	WC-112
D18Mit200	WC-844
D18Mit200.2	WC-844
D18Mit201.2	WC-74
D18Mit204	WC-1119
D18Mit205	WC-84
D18Mit206	WC-281
D18Mit210	WC-601
D18Mit212	WC-719
D18Mit214.2	WC-843
D18Mit219	WC-868
D18Mit224	WC-1026
D18Mit225	WC-669
D18Mit225.2	WC-669
D18Mit227	WC-74
D18Mit228	WC-35
D18Mit229.2	WC-1233
D18Mit23	WC-634
D18Mit232	WC-386
D18Mit234	WC-669
D18Mit235	WC-146
D18Mit236	WC-74
D18Mit237	WC-146
D18Mit24	WC-1217
D18Mit31	WC-72
D18Mit33	WC-664
D18Mit35	WC-146
D18Mit37	WC-634
D18Mit38	WC-1233
D18Mit45	WC-719
D18Mit48	WC-100
D18Mit49	WC-601
D18Mit50	WC-1184
D18Mit51	WC-162
D18Mit52	WC-84
D18Mit53	WC-1119
D18Mit54	WC-1119
D18Mit55	WC-1119
D18Mit60	WC-844
D18Mit61	WC-683
D18Mit62	WC-683
D18Mit64	WC-868
D18Mit7	WC-843
D18Mit70	WC-386
D18Mit71	WC-74
D18Mit76	WC-1119
D18Mit79	WC-601
D18Mit8	WC-100
D18Mit81	WC-14
D18Mit86	WC-474
D18Mit87	WC-962
D18Mit88	WC-844
D18Mit89	WC-74
D18Mit90	WC-731
D18Mit91	WC-731
D18Mit97	WC-962
D18Mit98	WC-683
D18Mit99	WC-938
D19Mit10	WC-404
D19Mit101	WC-811
D19Mit102	WC-621
D19Mit103	WC-907
D19Mit104	WC-304
D19Mit106	WC-427
D19Mit118	WC-811
D19Mit12	WC-38
D19Mit122	WC-1117
D19Mit123	WC-1117
D19Mit126.1	WC-881
D19Mit128	WC-489
D19Mit129	WC-489
D19Mit13	WC-1071
D19Mit130	WC-952
D19Mit132	WC-838
D19Mit133	WC-38
D19Mit16.1	WC-833
D19Mit17	WC-621
D19Mit18	WC-1189
D19Mit19	WC-1189
D19Mit2	WC-1117
D19Mit20	WC-811
D19Mit21	WC-1189
D19Mit22	WC-881
D19Mit23	WC-833
D19Mit24	WC-261
D19Mit25	WC-1117
D19Mit26	WC-665
D19Mit27	WC-261
D19Mit28	WC-869
D19Mit3	WC-1117
D19Mit30	WC-933
D19Mit31.2	WC-
D19Mit34	WC-304
D19Mit35	WC-304
D19Mit37	WC-1117
D19Mit39	WC-1230
D19Mit4	WC-1073
D19Mit40	WC-427
D19Mit40.2	WC-427
D19Mit41	WC-431
D19Mit44	WC-267
D19Mit45	WC-952
D19Mit47	WC-838
D19Mit5	WC-38
D19Mit5.1	WC-38
D19Mit50.1	WC-798
D19Mit54	WC-907
D19Mit55	WC-304
D19Mit57	WC-1230
D19Mit58	WC-1117
D19Mit60	WC-833
D19Mit63	WC-38
D19Mit64	WC-1071
D19Mit65	WC-139
D19Mit66	WC-1122
D19Mit69	WC-
D19Mit7	WC-665
D19Mit70	WC-1117
D19Mit71	WC-473
D19Mit74	WC-1073
D19Mit78.3	WC-267
D19Mit80	WC-431
D19Mit81	WC-1076
D19Mit81.2	WC-1076
D19Mit82	WC-811
D19Mit88	WC-811
D19Mit9	WC-404
D19Mit92	WC-473
D19Mit97	WC-427
D19Mit97.1	WC-427
D19Mit98	WC-838
D19Mit99.2	WC-933
D1Mit1	WC-629
D1Mit100	WC-971
D1Mit102	WC-402
D1Mit105	WC-975
D1Mit11	WC-332
D1Mit110	WC-31
D1Mit114	WC-453
D1Mit115	WC-1163
D1Mit116	WC-1163
D1Mit117	WC-296
D1Mit120	WC-808
D1Mit121	WC-776
D1Mit122.1	WC-514
D1Mit124	WC-823
D1Mit128	WC-68
D1Mit130	WC-820
D1Mit133	WC-190
D1Mit135	WC-817
D1Mit136	WC-1072
D1Mit138.1	WC-113
D1Mit139	WC-113
D1Mit142	WC-391
D1Mit144	WC-1162
D1Mit146	WC-70
D1Mit148	WC-70
D1Mit149.1	WC-126
D1Mit15	WC-441
D1Mit150	WC-1209
D1Mit153	WC-296
D1Mit155	WC-1121
D1Mit159.1	WC-1050
D1Mit16	WC-31
D1Mit160.1	WC-629
D1Mit161	WC-823
D1Mit162	WC-190
D1Mit163	WC-501
D1Mit164	WC-780
D1Mit165	WC-1163
D1Mit166	WC-1035
D1Mit168	WC-808
D1Mit169.2	WC-808
D1Mit17	WC-296
D1Mit170.1	WC-861
D1Mit172	WC-544
D1Mit173.1	WC-960
D1Mit174	WC-573
D1Mit181	WC-649
D1Mit184	WC-807
D1Mit186	WC-191
D1Mit187	WC-254
D1Mit188	WC-961
D1Mit19	WC-285
D1Mit191	WC-1045
D1Mit192	WC-113
D1Mit194	WC-402
D1Mit195	WC-251
D1Mit196	WC-1013
D1Mit199	WC-896
D1Mit20	WC-1161
D1Mit202	WC-1054
D1Mit206	WC-126
D1Mit207	WC-1163
D1Mit209	WC-963
D1Mit210	WC-795
D1Mit211	WC-533
D1Mit212	WC-514
D1Mit213	WC-573
D1Mit214	WC-823
D1Mit215	WC-799
D1Mit217	WC-1045
D1Mit218.2	WC-977
D1Mit219	WC-1050
D1Mit223	WC-296
D1Mit224	WC-296
D1Mit225	WC-518
D1Mit225.1	WC-518
D1Mit226	WC-1045
D1Mit227.2	WC-969
D1Mit228.1	WC-960
D1Mit23	WC-369
D1Mit231	WC-526
D1Mit232	WC-514
D1Mit233	WC-960
D1Mit234.1	WC-973
D1Mit236	WC-973
D1Mit24	WC-649
D1Mit240	WC-565
D1Mit241	WC-296
D1Mit242.1	WC-557
D1Mit243	WC-776
D1Mit244	WC-911
D1Mit245	WC-911
D1Mit246	WC-960
D1Mit247	WC-544
D1Mit248	WC-573
D1Mit249	WC-630
D1Mit250	WC-820
D1Mit251	WC-820
D1Mit253	WC-799
D1Mit258	WC-1111
D1Mit259.2	WC-501
D1Mit26	WC-291
D1Mit260	WC-1045
D1Mit261	WC-552
D1Mit262.1	WC-864
D1Mit263	WC-864
D1Mit265	WC-1013
D1Mit269	WC-1162
D1Mit27	WC-1045
D1Mit270	WC-70
D1Mit274	WC-296
D1Mit275.1	WC-739
D1Mit277	WC-1161
D1Mit277.2	WC-1161
D1Mit278	WC-861
D1Mit279	WC-823
D1Mit284	WC-190
D1Mit284.2	WC-190
D1Mit285	WC-949
D1Mit287S	WC-780
D1Mit289	WC-251
D1Mit292	WC-963
D1Mit293	WC-775
D1Mit294	WC-629
D1Mit296	WC-641
D1Mit30	WC-780
D1Mit300	WC-926
D1Mit301	WC-630
D1Mit302	WC-823
D1Mit305	WC-551
D1Mit306	WC-372
D1Mit307	WC-817
D1Mit31.2	WC-780
D1Mit310	WC-961
D1Mit311	WC-1202
D1Mit316	WC-641
D1Mit317	WC-526
D1Mit319	WC-1161
D1Mit322	WC-960
D1Mit324	WC-823
D1Mit326	WC-630
D1Mit33	WC-969
D1Mit330	WC-820
D1Mit333	WC-190
D1Mit334	WC-443
D1Mit336	WC-372
D1Mit338	WC-254
D1Mit339	WC-1045
D1Mit341	WC-1202
D1Mit342	WC-552
D1Mit343	WC-552
D1Mit350	WC-969
D1Mit351	WC-783
D1Mit353	WC-453
D1Mit354	WC-126
D1Mit356	WC-126
D1Mit357	WC-1035
D1Mit358	WC-1163
D1Mit361.3	WC-703
D1Mit362	WC-296
D1Mit363	WC-533
D1Mit365	WC-732
D1Mit37	WC-553
D1Mit370	WC-31
D1Mit374	WC-776
D1Mit375	WC-573
D1Mit376.1	WC-823
D1Mit380	WC-68
D1Mit381	WC-820
D1Mit383	WC-946
D1Mit384	WC-946
D1Mit385	WC-357
D1Mit386	WC-191
D1Mit387	WC-949
D1Mit388	WC-1111
D1Mit390	WC-1045
D1Mit391	WC-1045
D1Mit394	WC-896
D1Mit395	WC-971
D1Mit4	WC-526
D1Mit402	WC-453
D1Mit403	WC-1035
D1Mit404	WC-1163
D1Mit407	WC-703
D1Mit409.1	WC-296
D1Mit410	WC-1103
D1Mit411	WC-1161
D1Mit412	WC-861
D1Mit414	WC-823
D1Mit417	WC-1111
D1Mit418	WC-1045
D1Mit419	WC-1045
D1Mit42	WC-391
D1Mit420	WC-1045
D1Mit421.1	WC-113
D1Mit422	WC-896
D1Mit423	WC-971
D1Mit424	WC-975
D1Mit424.1	WC-975
D1Mit425	WC-1054
D1Mit425.1	WC-1054
D1Mit429	WC-629
D1Mit431	WC-808
D1Mit432	WC-808
D1Mit432.1	WC-808
D1Mit433	WC-960
D1Mit436	WC-190
D1Mit437	WC-190
D1Mit439	WC-443
D1Mit44	WC-946
D1Mit441	WC-254
D1Mit443	WC-565
D1Mit444	WC-1202
