Locus	Assay	Chrom	Genetic Position	Contig	Yacs
	Z33637			WCX.23	137_A_8 193_F_5 311_A_11
	36.MHAa63c12.seq			WC4.0	115_H_8 126_E_1 286_E_11 301_C_6 320_G_8 396_A_1 425_D_3 426_D_2 450_C_3
	MHAa47f5.seq			WCX.35	123_C_12 287_A_7 360_G_8 360_H_10 391_F_5 411_H_8 438_B_4 439_G_11 458_A_12
	MHAa83b9.seq			WC13.16	113_H_4 167_H_8 179_C_10 179_C_11 380_A_10 444_F_9 459_C_4
	mHAa57b8.seq				256_B_11 349_F_8 349_H_8 380_C_8 385_C_5 387_H_10 441_E_8
	U13263			WC16.22	116_E_3 128_C_11 136_F_5 300_C_5
	X95351			WC4.13	119_B_11 168_H_6 278_G_10 289_G_11 300_B_9 330_F_7 392_A_10 398_H_3 433_E_3 465_A_5
	L10908				113_F_12 151_B_11 387_F_7 443_F_11
	02.MHAa56e2.seq			WC6.14	200_G_1 309_B_6 352_A_7 379_B_10 403_C_2 403_C_9 411_G_10 418_D_9
	Results_ER_8_28_95_2_7.seq			WC11.14	329_C_3 392_H_4 415_C_12 452_C_4
	MHAa67e10.seq			WC13.43	187_C_5 299_H_4 300_A_4 335_A_9 379_D_5 385_F_9 450_G_1 457_E_9
	34.MHAa63g10.seq			WC11.36	138_A_7 342_H_12 346_E_8 385_F_11 425_B_9
	Results_ER_8_28_95_2_5.seq				164_H_3 295_F_5
	MHAa38c9.seq				396_E_2 87_B_11
	MHAa54e9.seq			WC7.17	121_F_10 129_C_5 133_D_5 212_D_6 331_E_7 359_H_1 406_C_12 450_F_5
	33.MMHAP26FLC6.seq			WC4.23	170_E_5 288_E_5
	MHAa83d11.seq				151_D_5 214_D_5 293_F_3 332_A_1 465_B_5
	U28217				123_H_2 166_F_5 305_C_11 309_H_10 335_F_5 341_E_10 358_E_6 393_F_5 405_H_5 450_H_8
	R75254			WC11.18	218_D_6 266_H_6 285_A_8 285_D_8 306_F_5 406_A_5
	X06368			WC18.25	184_F_5 300_H_4 331_G_5 402_G_8 416_G_8 446_H_10
	MHAa54a9.seq			WC5.9	136_F_11 193_C_6 203_C_6 415_C_1 424_A_11 437_E_8 441_F_9
	U51866			WC1.65	120_E_8 283_E_12 349_H_8 377_A_5 385_D_5 422_D_3 429_B_3 432_E_3 439_C_1 448_A_8 455_E_11
	39.MMHAP11FLE6.seq				200_B_10 415_A_2
	D18999			WC5.11	168_A_3 179_E_12 309_D_4
	MHAa21b12.seq			WC13.5	110_C_6 122_D_11 150_B_5 165_B_8 169_G_2 203_D_6 211_H_1 286_F_12 427_G_10 435_F_10 463_B_10
	U15209			WC11.31	123_F_8 162_A_6 164_B_6 180_H_2 193_C_9 379_D_12 392_H_12 438_F_9 458_F_5
	R75092			WC9.28	129_B_3 358_D_4 377_E_7 378_G_5 402_D_6 424_E_11 447_D_6 464_E_11
	48.MMHAP28FLH6.seq			WC2.27	292_D_3 376_C_3 381_G_11 405_F_2 431_A_9 444_A_7 444_C_8 444_F_2
	11.MMHAP28FRD8.seq			WC1.17	144_A_9 274_C_3 274_C_4 408_G_1 448_D_3
	48.MMHAP23FLH6.seq				134_B_4 164_D_6 255_C_9
	M37823			WC5.39	120_B_11 159_E_9 279_F_8
	17.MMHAP32FLF2.seq			WC5.38	116_F_11 124_H_12 156_C_4 162_B_4 198_F_8 293_C_12 307_C_3 310_B_5 311_H_9 391_D_10 392_B_3 446_E_8 460_G_5
	X06340				342_C_2
	14.MMHAP24FRE8.seq				134_E_5 162_C_6 415_F_4
	U22339			WC2.4	164_D_9 223_B_1 277_G_8 279_B_8 358_F_1 381_F_10 445_H_3
	09.MMHAP12FRC9.seq			WC2.70	121_E_1 158_A_4 185_D_5 199_G_5 218_C_9 285_D_2 351_G_10 388_A_1 388_H_1 396_C_1 396_E_10 397_H_4 403_E_7 435_E_5 446_A_11
	X84311			WC3.16	132_B_8 134_E_11 139_A_5 333_C_11 352_F_11 412_E_12 430_E_12 464_H_12
	15.MMHAP14FRE9.seq			WC3.41	110_G_7 119_F_12 156_G_5 397_E_10 459_A_8
	04.MMHAP27FRB7.seq			WCX.33	110_C_12 125_E_8 125_F_7 136_D_10 139_E_9 163_C_6 180_D_10 288_G_4 290_D_9 312_A_7 412_E_5
	U39066			WC11.44	119_E_7 185_D_12 188_B_6 326_A_3 385_D_10 385_F_9 459_D_5
	MHAa87f6.seq			WC14.41	136_C_10 144_G_7 304_A_1 305_A_1 306_C_11 311_E_1 335_B_10 380_B_5 448_H_6
	23.MMHAP22FRH8.seq			WC8.11	115_C_3 388_E_5 402_G_7 416_G_7
	MPC193			WC12.1	138_A_8 178_C_1 178_F_10 215_C_2 215_C_3 279_E_7 292_B_6 398_H_10 439_C_6 442_C_2 452_A_7
	Z34524				132_E_1 184_A_1
	L37871			WC6.17	113_D_6 136_D_12 148_F_9 398_H_12 442_D_1
	24.MHAa90b12.seq			WC2.3	118_D_10 121_C_3 121_D_4 295_C_7 295_E_8 305_B_9 359_F_1 379_H_12 397_G_11 445_C_1
	MHAa53a12.seq			WC2.42	123_D_3 165_F_5 173_G_4 199_B_3 381_G_6 448_D_10
	MHAa7c2.seq			WC14.5	152_F_7 391_A_1
	MHAa84h8.seq			WC13.43	122_D_4 324_B_6 359_G_11 398_F_6
	MHAa67h7.seq				110_G_4 160_A_10 397_F_12 88_G_5
	X61452			WC11.32	131_F_9 160_E_7 329_G_4 334_H_11 455_B_5
	25.MMHAP34FRA10.seq			WC16.29	144_H_3 331_D_4 348_D_1 390_F_12 395_E_1 449_F_7 463_C_9
	U12919			WC8.30	165_F_6 177_B_7 212_F_4 273_B_1 290_A_4 349_E_2
	D17888				128_E_11 211_C_10
	X61453				123_C_2 217_F_6 290_D_7 410_G_5 445_D_10 445_E_8
	Z11870				460_B_11
	Z16406				188_D_12 212_E_2 278_C_2 319_F_1 398_H_7 429_A_4
	A650			WC12.5	140_F_12 147_C_6 166_C_12 217_G_6 286_A_6 352_A_12 418_G_6 437_A_10
	mHAa57d2.seq			WC2.55	136_H_3 144_C_8 313_E_7 392_G_8 395_E_1
	14.MMHAP28FRE8.seq			WC5.44	126_H_10 149_G_2 398_F_9 398_H_1 433_H_6 463_C_11
	09.MMHAP29FLC3.seq			WC1.39	116_B_6 193_F_5 329_F_11 406_F_9 418_F_10 456_H_5 465_A_7
	MHAa84e5.seq			WC15.37	117_C_10 185_A_10 320_B_10
	MDB1071			WC6.9	148_D_12 348_E_10 350_G_6 357_H_6
	X04017				240_E_8
	X61455			WC2.57	161_D_3 177_F_8 193_D_8 325_B_3 387_B_5 415_B_5
	18.MMHAP14FRF9.seq			WC2.63	120_B_2 133_F_6 173_E_7 198_C_9 283_A_6 309_E_1 406_F_4 418_A_5 424_C_4 427_C_4 437_A_7 448_A_7 448_B_7
	MHAa31c12.seq			WC3.28	167_C_9 200_A_5 308_A_1 331_F_10 457_F_9 464_B_6
	U47008			WC2.7	152_H_3 199_C_12 240_G_7 311_H_8 317_F_6 357_A_4 385_H_9 430_E_8 435_H_4 464_A_11
	MDB0504			WC11.4	158_F_6 187_C_4 224_F_11 224_G_1 300_A_7 402_B_1 411_H_9 446_E_5
	U28216				123_H_2 158_A_5 309_H_10 335_F_5 341_E_10 358_E_6 393_F_5 405_H_5 450_H_8
	U06670			WC19.10	129_H_5 139_C_10 150_A_5 167_G_4 169_D_8 183_E_11 349_C_12 439_H_6 445_H_5 455_F_12 460_E_11
	R75334			WC15.22	203_B_8 375_B_5
	MHAa81f10.seq				166_C_8 297_B_2 389_D_7 449_D_9
	X81058				132_A_11 134_D_2 184_E_2 411_C_7 419_A_4
	MHAa28h8.seq			WC15.21	135_A_8 137_D_10 179_C_1 293_A_2 311_B_2 312_B_2 415_E_7
	X74760			WC17.4	124_A_2 126_G_3 137_E_11 173_F_2 184_C_2 301_G_9 360_F_9 387_D_7 446_E_7
	MHAa85h8.seq			WC3.49	316_B_11 440_A_2
	R74924			WC4.59	127_D_12 135_A_10 177_D_8 178_B_3 317_G_12 457_F_4
	U29088			WC4.33	118_G_12 132_H_11 136_H_6 140_E_2 389_G_11 439_B_5 441_H_7 451_B_10 460_A_1
	MHAa53b12.seq			WC13.10	158_C_11 158_D_5 158_H_4 457_A_6
	39.MMHAP28FLE6.seq			WC5.9	136_F_11 170_G_1 193_C_6 193_G_6 322_A_6 323_B_11 323_C_11 441_F_9 87_F_1
	Results_E1_8_29_95_47.seq			WC14.5	152_F_7
	15.MMHAP20FRE9.seq			WC1.6	172_C_9 181_D_8 385_H_5 405_B_12 408_E_12 463_H_5 88_D_3
	U06483			WC9.3	138_B_3 282_B_3
	X80169			WC2.49	110_H_11 114_E_9 185_G_8 313_G_3 313_G_4 387_G_3 391_C_6 403_D_12 426_C_6 442_A_9 458_E_6
	13.MMHAP25FRE7.seq			WC1.45	124_F_2 132_F_6 153_C_10 159_A_7 193_A_4 193_F_7 193_G_12 223_C_11 306_H_12 343_E_10 381_F_11 386_B_10 448_A_12
	MHAa83b10.seq				150_H_5 164_B_5 187_A_5 213_E_7 273_G_8 281_H_7 361_C_12 463_C_2
	09.mHAa3d9.seq				116_A_6 122_B_9 137_F_1 149_A_1 151_B_3 440_H_9
	18.MMHAP27FLF3.seq			WC3.39	144_B_9 218_F_11
	MHAa74d8.seq			WC11.25	134_D_8 135_D_6 198_B_6 305_E_6 312_B_10 317_H_7 460_D_6
	46.MMHAP14FLH4.seq			WC8.29	136_A_8 159_E_1 166_A_7 181_B_5 181_C_1 453_E_6
	MHAa67h4.seq			WC12.18	132_C_4 152_H_8 181_G_2 464_E_5
	MHAa78c7.seq			WC9.0	131_G_3 168_E_2 255_A_3 255_B_3 287_B_5 331_H_2 333_D_8 443_F_4 451_F_4
	MHAa28h1.seq			WC17.0	168_D_9 172_B_4 285_E_10 292_A_6 293_B_3 317_C_11 317_D_8 385_E_9 405_B_8 434_E_7 435_A_5
	U19119			WC11.17	173_E_5 180_C_3 198_E_2 455_E_6 88_H_12
	40.MMHAP25FRF10.seq			WC5.23	149_G_4 185_F_4 296_A_2 296_B_5 301_H_5 317_C_2 317_F_11 349_D_5 375_H_10 390_G_6 445_H_2
	35.MMHAP22FRD11.seq			WC11.14	211_D_12 223_A_6 329_C_3 359_B_10 452_C_4
	MDB0924				375_E_11 393_H_10 416_H_9
	B208			WC14.8	119_H_8 148_B_2 285_B_10 391_B_1 417_B_12 458_D_6
	28.MHAa92c4.seq				124_G_12 153_B_1 224_B_5 281_G_5 416_C_6
	X13335				163_H_9 169_C_6 185_B_6 464_A_1
	MHAa54c10.seq			WCX.19	118_H_2 147_A_12 184_C_5 187_E_2 310_D_7 330_A_12 414_A_1 447_E_7
	21.MMHAP14FRG9.seq			WC3.47	144_C_11 181_A_12 360_E_7 410_H_4 434_G_10 437_G_6 440_C_1 456_H_3
	mHAa57d9.seq			WC7.14	167_A_11 170_A_9 266_C_7 282_C_7 341_B_6 390_G_1 417_D_1 431_C_1 447_H_11 465_E_12
	MHAa59f10.seq			WC16.28	165_G_4 167_A_2 188_F_8 255_G_3 302_F_5 317_D_10 341_G_10 88_C_4
	MHAa67g10.seq			WC10.44	160_E_10 285_B_4 311_H_5 386_H_8 414_H_8
	MDB0925			WC11.48	183_H_8
	U52915			WC4.36	129_B_5 184_G_3 287_C_8 375_C_10 456_B_5
	X92122			WC3.41	110_G_7 119_F_12 124_D_9 150_H_9 156_G_5 380_F_1 452_F_6
	MHAa38e3.seq			WC2.14	128_B_10 311_B_9 341_H_3 350_E_4 395_D_10 396_C_3 405_A_3 461_D_5 87_E_9 88_E_5
	19.MMHAP23FLG1.seq				126_A_9 127_B_6 158_E_2 188_A_8 348_C_2 390_E_8
	M22959			WC15.4	317_E_10 421_B_5 440_H_7 451_F_1 454_A_6
	MHAa54f9.seq			WC1.49	144_F_11 149_C_3 158_G_8 161_C_2 188_D_4 316_D_2 321_H_5 456_B_3 464_E_10
	16.MHAa47b4.seq			WC2.27	156_D_7 218_D_8 291_E_6 297_D_9 384_C_1 406_F_6 411_E_12 444_F_4 458_B_12
	37.MHAa90d1.seq			WC2.24	137_F_1 162_C_2 357_G_6 381_C_12 449_F_9
	A659			WC1.26	114_F_11 131_H_4 139_C_1 193_A_4 331_G_6 359_G_7 402_G_7 411_A_5 464_D_5
	12.mHAa3a12.seq				122_B_9 123_A_4
	34.MHAa92g10.seq				180_H_4 200_C_8 332_D_11 422_H_5 423_H_11 449_C_2
	MHAa28g7.seq			WC8.1	125_H_3 126_H_3 128_B_6 138_D_3 177_C_2 183_H_4 185_F_1 240_A_12 311_D_4 317_C_7
	X87671			WC4.46	170_C_6 331_G_7
	R74740			WC1.15	118_F_2 169_H_9 305_G_12 316_C_1 391_C_9 436_D_3
	M86750				405_C_3
	X75650			WC11.37	170_F_6 212_A_6 297_D_5 302_G_5 302_H_10 302_H_12 304_E_10 308_C_8 330_B_6 390_C_2 390_D_4 393_A_4 393_B_5 420_A_2
	41.MHAa75d5.seq			WC16.38	117_D_2 129_A_12 307_A_5 319_A_11 406_D_1 409_A_2 436_B_8
	MHAa53g3.seq			WC3.32	159_E_12 214_G_6 282_H_8 316_G_10 349_B_7 389_A_4 417_A_7
	17.MMHAP11FRF8.seq			WC14.26	132_H_2 177_A_7 255_G_8
	26.MHAa77c2.seq			WC18.27	127_D_2 133_F_6 388_G_1 398_C_3 398_E_5 406_E_6 424_C_4 440_H_4
	MHAa70g4.seq			WC2.7	149_A_2 179_H_5 218_B_2
	MHAa38c4.seq			WC4.10	113_C_7 121_E_8 162_F_8 167_F_12 173_F_12 349_E_1 436_A_12
	R75557			WC11.34	395_C_11 442_E_11
	D17921			WC11.5	110_B_12 128_E_9 149_C_3 150_E_12 162_F_8 178_D_10 183_H_8 385_C_10 403_D_12 459_E_5 462_E_2
	26.MHAa56g2.seq			WC18.2	343_D_6
	MHAa78a8.seq				405_D_6 439_B_7 439_E_6
	X03533			WC10.32	127_E_2 172_B_9 185_G_6 290_E_4 344_H_1 384_G_2 389_A_9 410_G_2
	MHAa85d7.seq			WC8.22	135_B_5 136_H_4 148_G_8 164_E_3 165_E_2 392_E_9
	MHAa88g6.seq			WC3.45	113_A_3 292_A_9 350_A_8 362_F_7 418_H_9 459_C_1
	MHAa84f6.seq			WC11.14	127_C_1 164_G_10 217_A_1 281_C_4 281_D_4 396_E_4 430_B_4
	U44731				139_B_2 462_A_7
	44.MHAa63d8.seq			WC15.16	124_H_11 285_C_6 377_G_1 398_D_5
	X78684			WC12.9	119_A_3 120_G_9 185_B_7 311_E_12 393_B_9 393_D_12 406_F_4 406_F_5 424_D_7
	J04766			WC17.1	114_F_7 131_F_12 148_G_4 184_B_6 385_H_5 441_A_7 461_C_2
	MHAa20d12.seq				116_H_6 462_A_3
	38.MMHAP20FLE5.seq			WC8.41	114_G_1 179_A_12 277_D_9 301_F_12 305_G_5 449_F_2
	U11853			WC6.47	167_B_9 310_A_3 415_D_9 434_B_3
	X83202			WC1.75	402_A_7 425_B_3 438_G_2
	Z35401			WC9.39	162_E_10
	45.MHAa64h9.seq			WCX.40	121_G_2 122_D_8 126_G_9 148_E_6 223_H_5 240_F_6 297_E_11 308_D_8 333_D_11 454_F_7 457_D_2
	B106			WC11.18	163_D_12 185_H_1 277_C_8 288_A_6 362_G_7 438_C_5 457_E_7
	D37792			WC10.39	141_E_10 156_E_7 163_H_6 172_H_3 274_G_2 287_F_5 290_A_1 313_D_4 323_A_7 341_F_1 342_E_12 388_G_12 395_G_7
	U12883			WC3.34	170_H_1 289_H_8 346_G_2 346_G_3 87_H_3
	21.MHAa93f9.seq			WC18.24	133_A_7 138_C_11 165_E_11 167_A_9 281_D_2 328_B_7 384_B_3 403_G_3 403_H_3 418_F_5 435_F_7 440_B_12 461_D_4
	44.MHAa42h8.seq			WC19.20	114_C_10 255_C_4 334_H_3 395_F_12 403_H_6 417_F_5
	44.MMHAP27FRG11.seq			WC6.45	168_C_7 256_E_11 289_C_10 319_H_12 358_G_12 379_C_10 381_H_11
	06.MMHAP32FLB3.seq			WC4.4	119_B_8 132_E_9-f 178_A_8 193_C_5 324_C_2 350_C_12 357_E_11 378_H_8 381_A_8 389_B_3 426_A_12 427_H_1
	MHAa70e10.seq			WC10.22	162_E_11 301_A_12 312_D_4 331_D_2
	46.MHAa63h10.seq			WC8.4	173_A_9 179_A_10 255_E_10 306_D_6 317_F_3 454_D_11 465_A_6
	MHAa85d9.seq			WC6.28	184_D_6 320_H_9 322_C_10 403_A_5
	L26479			WC2.70	171_C_9 185_C_8 188_A_3 351_G_1 359_G_4 375_H_3 381_H_2 408_H_2 435_D_2 436_G_3-f
	U22465				343_F_11
	X84013			WC4.46	116_F_12 116_H_11 123_F_10 224_C_8 335_B_6 395_D_7 421_F_11 425_D_6 432_E_11 433_A_5 462_H_1
	Y00094			WC11.32	127_G_4 187_C_4 293_G_6 326_H_9 358_H_1 359_B_1 446_E_5 465_E_4
	M24496			WC11.1	149_F_4 281_E_2 397_C_2
	U09421			WC2.70	171_C_9 211_A_4 256_B_12 381_H_2
	MHAa28h6.seq			WC10.13	123_B_8 134_E_3 214_E_10 301_F_10 345_F_2 377_A_2 408_B_8 414_G_12 417_C_11 439_A_5 451_F_7
	D17899			WC6.20	159_H_1 170_B_1 213_H_10 213_H_11 213_H_12 278_E_5 423_D_4 428_D_4 445_D_5
	MHAa15b12.seq			WC4.53	115_E_4 163_G_12 301_D_10 301_D_5 402_E_2 439_C_11
	40.MMHAP27FRF10.seq				128_F_2 133_B_2 139_H_9 188_A_12 286_E_3
	R74903				137_G_4 138_G_12 288_A_5 321_G_4 384_F_8 431_B_2 442_A_12
	D17925			WC11.29	137_F_3 287_E_7 316_E_2 376_H_1
	12.MHAa90a12.seq			WC18.22	156_G_7 325_D_6 356_A_5 380_F_3
	19.MHAa58b7.seq			WC8.30	115_D_6 122_C_7 223_A_9 240_H_1 387_B_10
	MHAa84a1.seq				113_D_8 183_D_4
	M61215			WC18.26	304_G_8 330_F_6 402_G_4 433_D_12 459_A_8
	32.MMHAP32FLC5.seq			WC1.45	122_A_11 126_B_7 188_C_4 266_B_7 321_F_3 377_E_1-f 389_C_11 417_A_2 433_B_9 449_D_6
	24.MHAa81T_M13Rev.seq			WC2.13	121_G_1 123_B_3
	R75250				180_A_8 285_A_8 312_H_9 332_F_9 397_E_5 434_F_12 465_H_8
	MHAa85h2.seq				134_C_11 167_F_7 177_D_12 310_F_11 397_B_7
	MHAa97a6.seq				118_A_8 193_G_5 380_H_4 397_G_9 433_D_10 460_E_9
	40.MMHAP25FLF4.seq			WC9.9	118_H_10 160_H_11 334_D_4 447_B_7 447_B_9
	MTH2266			WC4.8	121_B_11 121_E_10 151_A_3 161_F_9 193_B_11 193_E_10 305_H_3 311_F_9 343_E_7 410_A_3 456_C_1 457_H_1 464_B_12
	MHAa35a10.seq			WC17.1	133_G_5 317_H_10 395_D_1 446_A_7 454_F_5 463_D_9
	Z36270				382_G_5
	MHAa83d8.seq			WC15.22	110_F_7 360_G_5
	MHAa43h5.seq				305_C_9 316_C_9 417_G_12 437_A_9 439_A_11
	45.MHAa92d9.seq			WC4.3	308_H_3 329_F_7 387_A_4 463_A_11
	MHAa82a4.seq			WC12.7	346_C_4 398_G_9 439_H_3 460_D_12
	L35261			WC1.1	110_G_11 126_F_6 134_B_10 139_A_7 203_E_6 384_H_5 441_H_2
	08.MMHAP24FRC8.seq				140_C_8 217_A_10 439_A_8
	MHAa97h3.seq			WC6.53	132_C_7 147_B_9 151_B_5 151_C_5 211_C_6 303_C_10 303_E_6 387_H_12
	M97516			WC5.10	126_E_3 126_E_5 290_H_8 320_A_3 330_D_4 343_E_9 361_E_5 406_F_4
	MHAa81h6.seq			WC18.20	125_D_7 179_H_10 437_F_7
	MHAa47h4.seq				360_A_5
	MTH2267			WC2.49	110_H_11 121_D_3 123_B_5 165_A_7 165_C_5 168_C_5 184_G_3 184_G_4 279_A_6 279_H_6 281_D_12 311_C_12 311_G_5 311_H_4 313_E_5 313_F_5 313_G_3 313_G_4 359_E_7 381_E_4 402_A_6 402_G_5 403_C_5 403_D_12 433_F_5
	MT2092			WC5.59	185_F_9 211_D_4 239_A_3
	MPC1031			WC13.16	125_E_8 128_D_7 133_A_6 173_F_10 187_A_9 240_G_9 307_H_8 342_F_10 350_E_5 379_E_8 391_G_1 405_F_4 406_C_11 414_D_7
	10.mHAa9f10.seq			WC4.55	119_B_9 150_E_5 306_A_11 350_A_3 386_G_6 396_E_4 398_C_12 403_E_6 450_A_2 454_A_6
	L47650				115_F_12 121_G_7 359_C_10 421_H_3 464_D_7
	17.MMHAP22FRF8.seq			WC16.35	124_D_11 127_D_8 150_G_12 159_B_2 290_E_6 445_E_7
	X60103			WC14.17	350_D_2 385_A_8 388_D_12 411_F_12
	44.MMHAP33FLG5.seq				463_E_12
	N28165			WC19.0	117_F_1 165_F_12 171_E_9 385_E_10 386_E_9
	MHAa28c3.seq			WC4.30	121_D_11 149_E_9 403_B_7 88_F_6
	MHAa29a4.seq			WC9.14	118_C_11 122_F_12 133_H_5 164_B_7 177_G_4 185_H_2 193_G_5 307_C_11 307_E_4 307_E_5 360_G_9 377_H_1 388_A_2 388_G_8 390_B_8 392_F_2 392_H_2 439_F_3 463_B_8 465_E_2
	MHAa34h1.seq				122_A_5 316_A_11 361_C_6
	34.MMHAP23FLD4.seq			WC9.8	320_C_6 396_D_7
	L07803				133_H_5 141_D_8 255_F_6 306_D_4 362_D_10 380_H_4 402_D_6 457_G_2
	L34290			WC9.27	137_H_4 361_C_12 386_F_11 402_F_10
	46.MMHAP25FLH4.seq				218_H_12 452_G_8
	M80456			WC2.2	133_H_1 256_D_3 350_H_5
	MHAa7b6.seq			WC6.2	173_A_12 309_G_1 322_D_5
	MHAa22h12.seq			WC17.14	122_A_6 185_C_7 239_D_10 335_B_10 378_E_2 378_F_4 455_A_10 457_B_9 463_G_6
	U21795			WCX.28	256_E_12 308_H_3 310_G_9 330_G_10 446_F_4
	MHAa97e1.seq			WC2.70	149_G_7 171_C_9 223_C_12 239_D_10 287_H_12 344_G_10 384_F_1 391_C_10 395_H_7 417_C_12 429_B_5 433_E_5 88_G_3
	MHAa84f4.seq				188_F_8 282_A_6 351_D_6 375_A_11 388_A_9 410_C_4 87_A_8
	23.MHAa92f11.seq				136_H_12 165_D_2 212_D_3 277_D_12 289_B_10 385_H_7 393_H_12 405_F_11 405_F_9 411_H_4 451_H_9
	N28141				117_H_6 131_E_7 164_A_11 256_F_6 283_C_10 311_D_1 326_C_1 341_D_9 346_A_3 375_D_6 412_F_5 421_F_8 88_C_2
	47.MHAa95d11.seq			WC13.22	119_B_5 132_F_5 326_H_10 351_H_7 452_D_1 458_C_4 460_D_5
	28.MMHAP28FLB4.seq			WC1.15	118_F_2 180_D_10 289_C_10 305_G_12 357_G_10 357_G_8 386_D_5 391_C_9 391_F_2 436_D_3
	25.MMHAP11FRA10.seq			WC4.38	122_F_8 144_D_11 165_B_7 329_C_8 332_F_1
	31.MMHAP27FLC4.seq			WC5.42	131_G_11 152_G_12 156_H_9 239_H_12 295_E_3 324_E_3 392_B_5 426_A_4 439_C_8 88_D_3
	X12521			WC1.27	287_D_2 324_G_2 386_F_4 387_H_4 450_D_3 451_D_2
	23.MMHAP23FLH2.seq			WC9.15	114_G_9 114_H_9
	20.MMHAP10FRG8.seq			WC2.33	125_A_12 127_E_9 218_E_5 346_H_6
	46.MMHAP20FLH4.seq			WC11.9	110_C_7 125_F_1 125_F_3 153_B_6 173_B_9 302_H_6 335_H_8 351_C_6 410_C_8
	MHAa35b7.seq			WCX.6	311_G_6 311_G_9 322_B_3 332_C_8 379_F_2 388_D_10 392_H_5 405_G_10 88_H_9
	M14805			WC3.31	166_D_6 173_E_11 181_A_7 312_G_7 384_H_12 424_A_7 427_A_7 459_E_5
	MHAa27a7.seq			WC16.6	135_H_1 168_H_3 170_G_6 213_C_10 239_G_8 307_G_8 406_E_10
	19.MMHAP12FLG1.seq			WC4.4	240_H_1 322_D_3 334_H_7 460_H_5
	D17978			WC6.20	115_B_6 159_H_1 181_C_1 213_H_10 213_H_11 213_H_12 274_H_1 331_B_9 331_D_9 342_A_11
	37.MMHAP25FLE4.seq			WC2.60	136_B_7 153_F_8 156_G_9 166_D_3 187_C_11 218_A_10 285_A_5 305_A_5 345_A_12 345_C_11 379_D_4 388_H_9
	MHAa21a10.seq			WC1.64	124_C_3 137_D_11 172_D_9 180_H_5 285_A_7 308_E_6 319_C_9 346_C_1 386_H_6 442_F_2 443_H_1
	MHAa29b6.seq			WC9.31	116_C_9 120_E_6 126_A_11 129_G_3 150_B_5 171_C_4 179_E_8 311_D_2 342_E_8 350_E_6 351_A_4 418_C_8 450_D_3 459_B_12
	MT445			WC6.12	118_F_7 127_G_4 139_A_10 224_E_9 282_D_4 282_F_4 361_F_4 382_E_9
	15.MMHAP24FRE9.seq			WC5.15	110_B_1 127_B_9 153_H_12 160_F_3 292_C_6 403_A_6 418_D_10 418_G_10 435_E_11 439_G_6
	U43585			WC11.29	256_D_5 277_D_6 287_E_7 316_E_2 457_F_12
	27.MMHAP24FLA6.seq			WC6.48	121_G_12 129_G_1 139_H_6 183_C_5 187_B_5 297_F_6 320_F_10 349_G_7
	D17848			WC6.51	179_E_10 183_E_5 291_A_10 387_B_9 408_B_2 457_F_2 458_E_4
	mHAa31e9.seq				184_H_7 274_H_1 406_B_4
	M18208			WC11.37	331_H_9 358_E_6 445_F_9
	U30602			WC16.2	126_H_10 158_E_5 158_E_6 165_E_1 278_F_3 343_H_9 357_F_9 360_A_9 381_B_12 387_C_1 391_E_6 426_A_9 448_E_6
	U51014				135_B_5 147_B_2 290_C_6 335_B_8 360_D_8 403_G_5 406_E_5 417_G_5
	MPC1493			WC12.34	303_H_4 305_F_4 330_B_12 350_C_7 403_A_5 405_B_10 405_H_9 435_B_11
	MHAa64d4.seq				375_C_10 423_F_12 426_C_12 427_B_6
	R75552			WC11.37	163_F_2 198_C_6 278_A_5 296_B_5 304_B_5 386_B_7 408_G_9 433_E_8
	MHAa74a6.seq			WC18.26	131_C_7 132_D_2 156_H_1 211_D_7 255_G_5 298_G_8 300_H_2 332_B_11 395_C_6 405_F_6 411_H_9 456_G_2
	MHAa22g12.seq			WC18.5	311_A_8 321_H_2 382_B_5 398_D_3 452_H_6 460_D_11
	Z37107			WC14.25	110_D_11 165_D_4-f 311_G_5 312_F_10 312_G_4 448_B_12
	X60304			WC18.34	164_C_3 185_H_1 198_B_7 224_F_4 426_E_8 438_A_5-f
	MHAa38e2.seq				134_B_1 170_D_9 352_A_12 391_B_10
	23.MHAa92b11.seq				334_B_5 334_C_4 387_G_9
	Z25524			WC16.21	117_H_11 171_A_5 184_B_6 223_F_12 223_G_10 319_H_6 331_F_5 344_H_8 359_C_1 397_F_5 432_F_2
	U00454			WC5.56	149_E_2 178_E_4 185_G_10 408_D_3 438_C_3 444_E_1
	39.MMHAP20FLE6.seq				134_A_10 141_A_4 285_A_9 321_E_11 458_G_5 87_C_12
	12.MMHAP12FRD9.seq				179_H_3 180_C_12 350_C_3 352_C_7 403_F_10 415_G_9
	38.MHAa98h2.seq				144_B_5 286_B_9 286_H_1 306_G_1 420_D_8 436_E_2 448_A_8
	D17849			WC1.66	116_G_12 179_F_7 301_G_12 386_B_1 391_C_1 433_D_1
	25.MMHAP29FLA4.seq				166_C_4 331_B_8 379_B_8 381_B_8 437_B_4 437_C_3 437_D_3 444_G_3
	N28140			WC1.27	156_E_8 172_C_5 183_E_1
	U29086			WC6.25	127_G_3 151_E_6 151_F_2 185_H_7 255_C_5 376_H_4 386_B_8 395_D_9 439_F_7
	22.MHAa42f10.seq				183_E_9 385_F_8 402_C_1 406_H_7 411_C_10
	U43205				303_C_12
