01.MHAa42e1.seq	WC9.14
16.MHAa96b4.seq	WC4.34
16.MMHAP10FF1.seq	WC14.31
16.MMHAP11FLF1.seq	WC15.24
16.MMHAP11FRF7.seq	WC9.4
16.MMHAP12FRF7.seq	WC14.3
16.MMHAP16FRF7.seq	WC1.38
16.MMHAP17FF1.seq	WC1.7
16.MMHAP22FRF7.seq	WC5.52
16.MMHAP23FRF7.seq	WC1.6
16.MMHAP26FLF1.seq	WC4.53
16.MMHAP27FRF7.seq	WC17.2
16.MMHAP28FLF1.seq	WC3.29
16.MMHAP31FLF1.seq	WC6.18
16.MMHAP35FLF1.seq	WC18.20
16.MMHAP35FRF7.seq	WC10.32
16.MMHAP39FRF7.seq	WC1.15
16.MMHAP42FLF1.seq	WC14.13
16.MMHAP46FRF7.seq	WC12.7
16.MMHAP4FLF1.seq	WC16.1
16.MMHAP54FLF1.seq	WC1.58
16.MMHAP57FLF1.seq	WC14.25
16.MMHAP61FLF1.seq	WC5.36
16.MMHAP61FRF7.seq	WC9.40
16.MMHAP63FLF1.seq	WC1.39
16.MMHAP64FLF1.seq	WC11.7
16.MMHAP64FRF7.seq	WC10.33
16.MMHAP67FLF1.seq	WC6.39
16.MMHAP69FRF7.seq	WC5.10
16.MMHAP70FLF1.seq	WC9.16
16.MMHAP83FRF7.seq	WC16.17
16.MMHAP84FLF1.seq	WC17.26
16.MMHAP84FRF7.seq	WC1.48
16.MMHAP85FLF1.seq	WC7.16
16.MMHAP87FLF1.seq	WC14.26
16.MMHAP90FRF7.seq	WC1.71
17.MHAa39B.seq	WC6.48
17.MHAa43d5.seq	WC16.12
17.MHAa58b5.seq	WC16.32
17.MHAa75b5.seq	WC16.8
17.MHAa92b5.seq	WCX.35
17.MHAa96b5.seq	WC9.24
17.MMHAP11FRF8.seq	WC14.23
17.MMHAP15FRF8.seq	WC6.30
17.MMHAP16FRF8.seq	WC19.20
17.MMHAP18FRF8.seq	WC1.8
17.MMHAP22FRF8.seq	WC16.30
17.MMHAP23FLF2.seq	WC8.26
17.MMHAP26FRF8.seq	WC9.4
17.MMHAP32FLF2.seq	WC5.30
17.MMHAP34FLF2.seq	WC5.13
17.MMHAP36FRF8.seq	WC4.35
17.MMHAP37FRF8.seq	WC14.1
17.MMHAP42FLF2.seq	WC13.13
17.MMHAP44FLF2.seq	WC7.41
17.MMHAP46FLF2.seq	WC8.30
17.MMHAP53FLF2.seq	WC18.10
17.MMHAP54FLF2.seq	WC8.7
17.MMHAP59FLF2.seq	WC15.20
17.MMHAP5FRF8.seq	WC5.30
17.MMHAP61FRF8.seq	WC13.4
17.MMHAP64FRF8.seq	WC3.46
17.MMHAP67FRF8.seq	WC2.70
17.MMHAP70FRF8.seq	WC7.34
17.MMHAP71FRF8.seq	WC2.61
17.MMHAP82FLF2.seq	WC17.5
17.MMHAP82FRF8.seq	WC3.49
17.MMHAP83FRF8.seq	WC5.7
17.MMHAP88FRF8.seq	WC4.20
17.MMHAP91FLF2.seq	WC4.26
17.MMHAP91FRF8.seq	WC2.43
17.MMHAP94FRF8.seq	WC5.7
17.MMHAP97FRF8.seq	WC6.13
17.MMHAP9FRF8.seq	WC12.22
18.MHAa47b6.seq	WC13.22
18.MHAa55T.seq	WC13.10
18.MHAa90b6.seq	WC16.30
18.MMHAP10FF3.seq	WC6.29
18.MMHAP10FRF9.seq	WC7.29
18.MMHAP11FRF9.seq	WC9.33
18.MMHAP14FRF9.seq	WC2.63
18.MMHAP18FLF3.seq	WC12.25
18.MMHAP22FRF9.seq	WC14.32
18.MMHAP23FLF3.seq	WC1.29
18.MMHAP23FRF9.seq	WC8.43
18.MMHAP25FLF3.seq	WC10.24
18.MMHAP25FRF9.seq	WC12.6
18.MMHAP26FRF9.seq	WC12.2
18.MMHAP27FLF3.seq	WC3.39
18.MMHAP31FLF3.seq	WC18.17
18.MMHAP34FLF3.seq	WC13.9
18.MMHAP34FRF9.seq	WC2.42
18.MMHAP42FLF3.seq	WC12.7
18.MMHAP46FRF9.seq	WC1.22
18.MMHAP4FLF3.seq	WC6.28
18.MMHAP50FLF3.seq	WC1.57
18.MMHAP54FLF3.seq	WC1.39
18.MMHAP59FRF9.seq	WC7.29
18.MMHAP5FLF3.seq	WC3.34
18.MMHAP5FRF9.seq	WC2.70
18.MMHAP61FLF3.seq	WC7.14
18.MMHAP61FRF9.seq	WC3.47
18.MMHAP62FRF9.seq	WC3.49
18.MMHAP63FLF3.seq	WC5.35
18.MMHAP63FRF9.seq	WC2.49
18.MMHAP65FLF3.seq	WC19.6
18.MMHAP6FRF9.seq	WC5.51
18.MMHAP70FLF3.seq	WC12.27
18.MMHAP76FRF9.seq	WC11.12
18.MMHAP79FRF9.seq	WC12.34
18.MMHAP80FLF3.seq	WC11.7
18.MMHAP82FLF3.seq	WC4.45
18.MMHAP83FLF3.seq	WC2.43
18.MMHAP84FRF9.seq	WC7.40
18.MMHAP85FLF3.seq	WC19.19
18.MMHAP86FLF3.seq	WC13.13
18.MMHAP86FRF9.seq	WC11.31
18.MMHAP87FLF3.seq	WC10.24
18.MMHAP88FLF3.seq	WC7.44
18.MMHAP91FRF9.seq	WC17.26
18.MMHAP97FRF9.seq	WC9.19
18.mHAa3b6.seq	WC5.19
19.MHAa43d7.seq	WC14.23
19.MHAa58b7.seq	WC8.29
19.MHAa91f7.seq	WCX.10
19.MMHAP10FRG7.seq	WC11.5
19.MMHAP12FLG1.seq	WC4.4
19.MMHAP12FRG7.seq	WC13.31
19.MMHAP15FRG7.seq	WC4.22
19.MMHAP16FRG7.seq	WC18.1
19.MMHAP17FG1.seq	WC15.8
19.MMHAP17FRG7.seq	WC3.14
19.MMHAP18FLG1.seq	WC11.9
19.MMHAP25FLG1.seq	WC13.10
19.MMHAP26FLG1.seq	WC17.3
19.MMHAP27FLG1.seq	WC4.6
19.MMHAP27FRG7.seq	WC13.14
19.MMHAP28FRG7.seq	WC11.39
19.MMHAP29FRG7.seq	WC9.3
19.MMHAP32FLG1.seq	WC14.20
19.MMHAP33FLG1.seq	WC12.22
19.MMHAP33FRG7.seq	WC17.9
19.MMHAP41FLG1.seq	WC6.37
19.MMHAP53FLG1.seq	WC3.2
19.MMHAP66FLG1.seq	WC1.29
19.MMHAP67FLG1.seq	WC9.20
19.MMHAP71FLG1.seq	WC7.44
19.MMHAP75FLG1.seq	WC4.31
19.MMHAP75FRG7.seq	WC5.48
19.MMHAP80FRG7.seq	WC11.34
19.MMHAP86FRG7.seq	WC8.5
19.MMHAP87FRG7.seq	WC12.7
19.MMHAP88FRG7.seq	WC4.15
19.MMHAP90FRG7.seq	WC6.9
19.MMHAP91FRG7.seq	WC8.37
19.MMHAP94FLG1.seq	WC2.40
19.MMHAP97FRG7.seq	WC13.35
19.mHAa9g7.seq	WC17.14
1_16-1.seq	WC11.22
20.E1_8_31_95.seq	WC19.20
20.MHAa10f8.seq	WC8.2
20.MHAa65T_M13Rev.seq	WC14.13
20.MHAa89f8.seq	WC10.6
20.MHAa90f8.seq	WC4.1
20.MHAa93f8.seq	WC3.43
20.MHAa96b8.seq	WC1.51
20.MMHAP10FG2.seq	WC12.12
20.MMHAP10FRG8.seq	WC2.35
20.MMHAP16FLG2.seq	WC5.1
20.MMHAP16FRG8.seq	WC14.9
20.MMHAP18FLG2.seq	WC1.25
20.MMHAP18FRG8.seq	WC14.41
20.MMHAP22FRG8.seq	WC13.13
20.MMHAP23FLG2.seq	WC8.40
20.MMHAP24FLG2.seq	WCX.32
20.MMHAP25FRG8.seq	WC11.16
20.MMHAP28FLG2.seq	WC10.34
20.MMHAP28FRG8.seq	WC5.39
20.MMHAP29FRG8.seq	WC9.43
20.MMHAP32FLG2.seq	WC19.19
20.MMHAP34FLG2.seq	WC5.34
20.MMHAP35FLG2.seq	WC11.9
20.MMHAP36FRG8.seq	WC7.12
20.MMHAP42FLG2.seq	WC2.47
20.MMHAP44FLG2.seq	WC6.21
20.MMHAP45FLG2.seq	WC13.18
20.MMHAP47FLG2.seq	WC7.19
20.MMHAP4FLG2.seq	WC10.4
20.MMHAP4FRG8.seq	WC7.32
20.MMHAP50FLG2.seq	WC14.31
20.MMHAP59FRG8.seq	WC11.1
20.MMHAP61FLG2.seq	WC4.35
20.MMHAP61FRG8.seq	WC10.35
20.MMHAP62FLG2.seq	WC8.24
20.MMHAP64FLG2.seq	WCX.42
20.MMHAP66FLG2.seq	WC7.14
20.MMHAP67FRG8.seq	WC1.15
20.MMHAP69FRG8.seq	WC7.38
20.MMHAP6FLG2.seq	WC6.27
20.MMHAP6FRG8.seq	WC6.21
20.MMHAP76FRG8.seq	WC3.46
20.MMHAP7FLG2.seq	WC7.15
20.MMHAP82FLG2.seq	WC10.39
20.MMHAP82FRG8.seq	WC14.12
20.MMHAP84FRG8.seq	WC8.32
20.MMHAP85FLG2.seq	WC6.30
20.MMHAP86FLG2.seq	WC14.26
20.MMHAP87FRG8.seq	WC18.17
20.MMHAP88FLG2.seq	WC16.8
20.MMHAP88FRG8.seq	WC8.30
20.MMHAP91FRG8.seq	WC2.67
20.MMHAP97FLG2.seq	WC1.2
20.MMHAP9FLG2.seq	WC16.2
20.MMHAP9FRG8.seq	WC14.23
21.MHAa42f9.seq	WC18.29
21.MHAa52f9.seq	WC4.22
21.MHAa90f9.seq	WC5.35
21.MHAa98f9.seq	WC15.24
21.MMHAP14FLG3.seq	WC3.48
21.MMHAP14FRG9.seq	WC3.46
21.MMHAP15FRG9.seq	WC13.31
21.MMHAP17FRG9.seq	WC7.26
21.MMHAP20FRG9.seq	WC10.43
21.MMHAP22FRG9.seq	WC14.35
21.MMHAP25FLG3.seq	WC11.3
21.MMHAP26FLG3.seq	WC10.6
21.MMHAP27FRG9.seq	WC17.9
21.MMHAP28FLG3.seq	WC14.25
21.MMHAP28FRG9.seq	WC15.14
21.MMHAP34FLG3.seq	WC7.39
21.MMHAP34FRG9.seq	WC1.68
21.MMHAP36FLG3.seq	WC4.22
21.MMHAP40FRG9.seq	WCX.18
21.MMHAP45FRG9.seq	WC1.43
21.MMHAP4FRG9.seq	WC11.29
21.MMHAP50FRG9.seq	WC3.6
21.MMHAP54FLG3.seq	WC18.13
21.MMHAP56FRG9.seq	WC14.4
21.MMHAP57FLG3.seq	WC2.64
21.MMHAP61FLG3.seq	WC7.33
21.MMHAP61FRG9.seq	WC4.45
21.MMHAP62FLG3.seq	WC10.11
21.MMHAP64FLG3.seq	WC5.30
21.MMHAP65FRG9.seq	WC18.26
21.MMHAP66FLG3.seq	WC11.17
21.MMHAP67FLG3.seq	WC11.9
21.MMHAP68FRG9.seq	WC14.19
21.MMHAP6FLG3.seq	WC7.45
21.MMHAP71FRG9.seq	WC9.4
21.MMHAP79FRG9.seq	WC6.41
21.MMHAP7FLG3.seq	WC3.43
21.MMHAP85FLG3.seq	WC5.34
21.MMHAP88FLG3.seq	WC4.53
21.MMHAP88FRG9.seq	WC18.24
21.MMHAP91FLG3.seq	WC10.2
21.MMHAP91FRG9.seq	WC14.1
21.MMHAP94FLG3.seq	WC1.19
21.MMHAP97FRG9.seq	WC1.68
21.MMHAP9FLG3.seq	WCX.40
21.MMHAP9FRG9.seq	WC6.38
22.MHAa10f10.seq	WC13.5
22.MHAa55f10.seq	WC18.12
22.MHAa58b10.seq	WC2.9
22.MHAa90f10.seq	WC3.49
22.MHAa96b10.seq	WC11.11
22.MMHAP10FH1.seq	WC2.37
22.MMHAP12FRH7.seq	WC11.23
22.MMHAP15FRH7.seq	WC19.20
22.MMHAP16FLH1.seq	WC12.14
22.MMHAP17FH1.seq	WC12.38
22.MMHAP18FLH1.seq	WC3.42
22.MMHAP18FRH7.seq	WC12.2
22.MMHAP25FLH1.seq	WC19.6
22.MMHAP25FRH7.seq	WC7.32
22.MMHAP26FLH1.seq	WC16.1
22.MMHAP26FRH7.seq	WC13.22
22.MMHAP28FLH1.seq	WC15.37
22.MMHAP30FLH1.seq	WC7.19
22.MMHAP53FRH7.seq	WC4.13
22.MMHAP54FLH1.seq	WC3.3
22.MMHAP57FRH7.seq	WC12.25
22.MMHAP67FRH7.seq	WC13.10
22.MMHAP69FRH7.seq	WC1.31
22.MMHAP6FLH1.seq	WC11.28
22.MMHAP70FRH7.seq	WC4.35
22.MMHAP75FRH7.seq	WC7.42
22.MMHAP76FRH7.seq	WC4.33
22.MMHAP7FLH1.seq	WC1.53
22.MMHAP81FRH7.seq	WC12.5
22.MMHAP82FRH7.seq	WC14.34
22.MMHAP87FLH1.seq	WC14.37
22.MMHAP91FLH1.seq	WC5.52
22.MMHAP97FLH1.seq	WC15.8
22.MMHAP97FRH7.seq	WC12.34
22.mHAa3b10.seq	WC7.17
22.mHAa3e10.seq	WC2.32
23.MHAa63b11.seq	WC18.9
23.MHAa89f11.seq	WC9.37
23.MHAa90f11.seq	WC13.28
23.MHAa92f11.seq	WC17.6
23.MMHAP10FH2.seq	WC5.7
23.MMHAP11FRH8.seq	WC13.35
23.MMHAP14FLH2.seq	WC18.27
23.MMHAP15FRH8.seq	WC9.15
23.MMHAP22FRH8.seq	WC8.10
23.MMHAP24FRH8.seq	WC11.26
23.MMHAP25FLH2.seq	WC18.24
23.MMHAP27FRH8.seq	WC8.28
23.MMHAP28FRH8.seq	WC3.5
23.MMHAP30FLH2.seq	WC14.13
23.MMHAP33FRH8.seq	WC9.7
23.MMHAP34FLH2.seq	WC15.26
23.MMHAP34FRH8.seq	WC19.1
23.MMHAP35FLH2.seq	WC14.25
23.MMHAP35FRH8.seq	WC7.13
23.MMHAP45FRH8.seq	WC12.23
23.MMHAP4FLH2.seq	WC16.25
23.MMHAP50FRH8.seq	WC16.24
23.MMHAP53FRH8.seq	WC10.41
23.MMHAP54FLH2.seq	WC19.9
23.MMHAP56FLH2.seq	WC5.53
23.MMHAP59FRH8.seq	WC18.17
23.MMHAP5FRH8.seq	WC3.35
23.MMHAP61FLH2.seq	WC1.63
23.MMHAP64FLH2.seq	WC7.16
23.MMHAP68FRH8.seq	WC14.41
23.MMHAP7FLH2.seq	WC6.32
23.MMHAP85FLH2.seq	WC10.35
23.MMHAP85FRH8.seq	WC18.17
23.MMHAP86FRH8.seq	WC8.19
23.MMHAP87FRH8.seq	WC16.23
23.MMHAP94FLH2.seq	WC14.22
23.MMHAP97FRH8.seq	WC15.37
23.mHAa8a11.seq	WC19.3
24.MHAa55f12.seq	WC9.21
24.MHAa58b12.seq	WC1.58
24.MHAa63b12.seq	WC13.3
24.MHAa81T_M13Rev.seq	WC2.15
24.MHAa89f12.seq	WC1.1
24.MHAa90b12.seq	WC2.3
24.MHAa93f12.seq	WC13.6
24.MHAa96b12.seq	WC2.24
24.MHAa98f12.seq	WC3.48
24.MMHAP10FH3.seq	WCX.19
24.MMHAP11FLH3.seq	WC5.3
24.MMHAP16FLH3.seq	WC2.69
24.MMHAP17FH3.seq	WC9.27
24.MMHAP18FRH9.seq	WC11.24
24.MMHAP25FRH9.seq	WC12.12
24.MMHAP29FRH9.seq	WC1.15
24.MMHAP33FRH9.seq	WC18.20
24.MMHAP34FLH3.seq	WC8.22
24.MMHAP35FRH9.seq	WC7.42
24.MMHAP36FLH3.seq	WC6.17
24.MMHAP37FRH9.seq	WC6.6
24.MMHAP38FRH9.seq	WC2.52
24.MMHAP48FLH3.seq	WC11.17
24.MMHAP4FRH9.seq	WC6.30
24.MMHAP50FRH9.seq	WC3.46
24.MMHAP53FLH3.seq	WC3.33
24.MMHAP56FRH9.seq	WC5.19
24.MMHAP5FLH3.seq	WC16.2
24.MMHAP5FRH9.seq	WC17.10
24.MMHAP63FRH9.seq	WC6.45
24.MMHAP64FRH9.seq	WC19.21
24.MMHAP67FLH3.seq	WC17.12
24.MMHAP69FLH3.seq	WC2.20
24.MMHAP69FRH9.seq	WC11.1
24.MMHAP6FLH3.seq	WC12.34
24.MMHAP71FLH3.seq	WC5.26
24.MMHAP85FLH3.seq	WC5.47
24.MMHAP86FLH3.seq	WC8.31
24.MMHAP87FRH9.seq	WC1.63
24.MMHAP88FLH3.seq	WC6.21
24.MMHAP91FLH3.seq	WC2.70
24.MMHAP93FRH9.seq	WC4.1
24.MMHAP97FRH9.seq	WC2.14
24.MMHAP9FLH3.seq	WC3.43
24.mhaa80e.seq	WC3.5
25.MHAa55g1.seq	WC4.4
25.MHAa75c1.seq	WC13.13
25.MHAa91g1.seq	WC17.10
25.MHAa92c1.seq	WC1.44
25.MHAa95c1.seq	WC14.39
25.MMHAP11FLA4.seq	WC12.26
25.MMHAP11FRA10.seq	WC4.37
25.MMHAP14FLA4.seq	WC12.32
25.MMHAP15FLA4.seq	WC7.20
25.MMHAP24FRA10.seq	WC9.15
25.MMHAP25FRA10.seq	WC16.16
25.MMHAP28FRA10.seq	WC2.58
25.MMHAP29FLA4.seq	WC3.25
25.MMHAP32FLA4.seq	WC17.7
25.MMHAP34FRA10.seq	WC16.24
25.MMHAP35FRA10.seq	WC7.22
25.MMHAP38FLA4.seq	WC14.12
25.MMHAP44FLA4.seq	WC12.26
25.MMHAP4FLA4.seq	WC5.50
25.MMHAP50FLA4.seq	WC18.10
25.MMHAP50FRA10.seq	WC11.37
25.MMHAP54FLA4.seq	WC3.25
25.MMHAP56FRA10.seq	WC8.26
25.MMHAP59FLA4.seq	WC2.63
25.MMHAP5FRA10.seq	WC15.4
25.MMHAP62FLA4.seq	WC15.24
25.MMHAP63FLA4.seq	WC3.34
25.MMHAP63FRA10.seq	WC13.23
25.MMHAP64FLA4.seq	WC16.8
25.MMHAP68FRA10.seq	WC16.9
25.MMHAP69FLA4.seq	WC5.8
25.MMHAP70FLA4.seq	WC19.3
25.MMHAP7FRA10.seq	WC13.11
25.MMHAP80FLA4.seq	WC18.5
25.MMHAP84FLA4.seq	WC6.43
25.MMHAP86FRA10.seq	WC14.19
25.MMHAP90FRA10.seq	WC1.68
25.MMHAP94FLA4.seq	WC6.45
25.MMHAP9FLA4.seq	WC12.29
25.MMHAP9FRA10.seq	WC6.10
25.mHAa3f1.seq	WC17.2
25.mHAa8b1.seq	WC9.37
25.mHAa9h1.seq	WC1.47
26.MHAa43e2.seq	WC14.30
26.MHAa58c2.seq	WC15.29
26.MHAa59c2.seq	WC9.15
26.MHAa63c2.seq	WC2.3
26.MHAa77c2.seq	WC2.63
26.MHAa90g2.seq	WC14.13
26.MHAa92c2.seq	WC10.6
26.MHAa93g2.seq	WC2.28
26.MHAa95c2.seq	WC10.23
26.MMHAP10FA5.seq	WC2.49
26.MMHAP11FLA5.seq	WC1.64
26.MMHAP11FRA11.seq	WC14.31
26.MMHAP12FLA5.seq	WC16.16
26.MMHAP17FA5.seq	WC1.18
26.MMHAP18FLA5.seq	WC16.19
26.MMHAP20FRA11.seq	WC3.15
26.MMHAP24FLA5.seq	WC17.1
26.MMHAP26FLA5.seq	WC7.50
26.MMHAP26FRA11.seq	WC18.29
26.MMHAP28FLA5.seq	WC15.4
26.MMHAP29FRA11.seq	WC7.20
26.MMHAP32FLA5.seq	WC17.2
26.MMHAP34FLA5.seq	WC16.12
26.MMHAP35FLA5.seq	WC11.14
26.MMHAP36FLA5.seq	WC6.28
26.MMHAP42FLA5.seq	WC5.19
26.MMHAP47FLA5.seq	WC9.32
26.MMHAP4FLA5.seq	WC6.5
26.MMHAP50FRA11.seq	WC7.45
26.MMHAP53FLA5.seq	WC10.34
26.MMHAP53FRA11.seq	WC9.44
26.MMHAP54FLA5.seq	WC19.19
26.MMHAP56FRA11.seq	WC1.8
26.MMHAP57FLA5.seq	WC7.12
26.MMHAP59FRA11.seq	WC6.14
26.MMHAP61FRA11.seq	WC10.27
26.MMHAP64FRA11.seq	WC2.4
26.MMHAP66FLA5.seq	WC19.18
26.MMHAP67FLA5.seq	WC4.6
26.MMHAP67FRA11.seq	WC13.11
26.MMHAP69FRA11.seq	WC6.37
26.MMHAP70FLA5.seq	WC13.4
26.MMHAP71FLA5.seq	WC12.32
26.MMHAP76FRA11.seq	WC9.24
26.MMHAP79FRA11.seq	WC10.35
26.MMHAP81FRA11.seq	WC5.11
26.MMHAP83FRA11.seq	WC6.31
26.MMHAP84FRA11.seq	WC9.10
26.MMHAP87FLA5.seq	WC15.19
26.MMHAP90FRA11.seq	WC15.36
26.MMHAP91FLA5.seq	WC10.35
26.MMHAP94FLA5.seq	WC7.37
26.MMHAP94FRA11.seq	WC2.43
26.MMHAP96FRA11.seq	WC17.28
26.MMHAP97FRA11.seq	WC9.13
26.MMHAP9FRA11.seq	WC7.12
26.mHAa8b2.seq	WC12.7
27.MHAa58c3.seq	WC14.12
27.MHAa93g3.seq	WC6.30
27.MHAa98g3.seq	WC9.2
27.MMHAP10FRA12.seq	WC2.18
27.MMHAP11FRA12.seq	WC5.48
27.MMHAP16FLA6.seq	WC14.12
27.MMHAP17FA6.seq	WC1.4
27.MMHAP18FLA6.seq	WCX.18
27.MMHAP20FRA12.seq	WC2.29
27.MMHAP24FLA6.seq	WC6.39
27.MMHAP25FLA6.seq	WC2.49
27.MMHAP26FRA12.seq	WC10.6
27.MMHAP28FLA6.seq	WC3.49
27.MMHAP32FLA6.seq	WC13.2
27.MMHAP34FLA6.seq	WC16.32
27.MMHAP35FLA6.seq	WC13.13
27.MMHAP42FLA6.seq	WC1.27
27.MMHAP53FLA6.seq	WC1.10
27.MMHAP54FLA6.seq	WC17.22
27.MMHAP54FRA12.seq	WCX.5
27.MMHAP56FLA6.seq	WC6.10
27.MMHAP59FLA6.seq	WC2.57
27.MMHAP62FLA6.seq	WC11.15
27.MMHAP63FLA6.seq	WC3.38
27.MMHAP63FRA12.seq	WC19.12
27.MMHAP66FLA6.seq	WC16.24
27.MMHAP66FRA12.seq	WC4.31
27.MMHAP68FLA6.seq	WC18.24
27.MMHAP69FLA6.seq	WC3.6
27.MMHAP69FRA12.seq	WC3.46
27.MMHAP6FLA6.seq	WCX.34
27.MMHAP70FLA6.seq	WC7.2
27.MMHAP70FRA12.seq	WC6.16
27.MMHAP7FRA12.seq	WC4.55
27.MMHAP85FLA6.seq	WC7.39
27.MMHAP86FLA6.seq	WC13.22
27.MMHAP90FLA6.seq	WC11.22
27.MMHAP90FRA12.seq	WC3.19
27.MMHAP91FLA6.seq	WC1.23
27.MMHAP97FLA6.seq	WC1.28
27.MMHAP9FRA12.seq	WC9.10
28.E1_9_6_95.seq	WC15.3
28.MHAa58c4.seq	WC19.7
28.MHAa63c4.seq	WC3.42
28.MHAa64g4.seq	WC9.15
28.MHAa65T_M13Rev.seq	WC1.43
28.MMHAP10FB4.seq	WC8.13
28.MMHAP11FRB10.seq	WC3.45
28.MMHAP12FRB10.seq	WC2.37
28.MMHAP15FLB4.seq	WC10.34
28.MMHAP16FRB10.seq	WC14.23
28.MMHAP26FRB10.seq	WC7.13
28.MMHAP27FRB10.seq	WC6.29
28.MMHAP28FLB4.seq	WC1.12
28.MMHAP28FRB10.seq	WCX.19
28.MMHAP35FRB10.seq	WC15.8
28.MMHAP37FRB10.seq	WC2.69
28.MMHAP38FRB10.seq	WC6.29
28.MMHAP45FLB4.seq	WC8.2
28.MMHAP53FRB10.seq	WC7.20
28.MMHAP61FRB10.seq	WC11.11
28.MMHAP62FRB10.seq	WC7.25
28.MMHAP63FLB4.seq	WC9.7
28.MMHAP67FLB4.seq	WC9.16
28.MMHAP69FLB4.seq	WC3.46
28.MMHAP6FRB10.seq	WC6.35
28.MMHAP80FRB10.seq	WC10.39
28.MMHAP81FLB4.seq	WC4.11
28.MMHAP84FRB10.seq	WC11.3
28.MMHAP88FLB4.seq	WC1.58
28.MMHAP88FRB10.seq	WC5.38
28.MMHAP96FLB4.seq	WC8.17
28.MMHAP97FLB4.seq	WC17.4
28.MMHAP97FRB10.seq	WC9.16
29.MHAa27B.seq	WCX.24
29.MHAa59c5.seq	WC15.14
29.MHAa64g5.seq	WC6.32
29.MHAa77c5.seq	WC4.11
29.MHAa92c5.seq	WC6.21
29.MMHAP14FLB5.seq	WC9.10
29.MMHAP15FLB5.seq	WC1.22
29.MMHAP16FLB5.seq	WC12.31
29.MMHAP18FLB5.seq	WC9.7
29.MMHAP18FRB11.seq	WC12.1
29.MMHAP20FRB11.seq	WC5.54
29.MMHAP22FRB11.seq	WC13.35
29.MMHAP23FLB5.seq	WC4.47
29.MMHAP24FLB5.seq	WC15.16
29.MMHAP24FRB11.seq	WC15.18
29.MMHAP25FRB11.seq	WC14.13
29.MMHAP34FLB5.seq	WC2.36
29.MMHAP36FLB5.seq	WC6.38
29.MMHAP37FRB11.seq	WC6.12
29.MMHAP40FRB11.seq	WC15.24
29.MMHAP42FLB5.seq	WC8.26
29.MMHAP47FLB5.seq	WC6.30
29.MMHAP4FLB5.seq	WC13.13
29.MMHAP50FLB5.seq	WC5.52
29.MMHAP53FLB5.seq	WC1.8
29.MMHAP54FLB5.seq	WC8.12
29.MMHAP62FLB5.seq	WC11.8
29.MMHAP66FLB5.seq	WC14.19
29.MMHAP68FLB5.seq	WC10.8
29.MMHAP6FRB11.seq	WC1.59
29.MMHAP70FLB5.seq	WC4.8
29.MMHAP71FLB5.seq	WC11.28
29.MMHAP75FRB11.seq	WC6.27
29.MMHAP79FRB11.seq	WC1.33
29.MMHAP81FLB5.seq	WC11.20
29.MMHAP83FLB5.seq	WC16.8
29.MMHAP85FLB5.seq	WC12.18
29.MMHAP85FRB11.seq	WC12.23
29.MMHAP86FRB11.seq	WC15.22
29.MMHAP88FRB11.seq	WC15.30
29.MMHAP90FRB11.seq	WC8.4
30.MHAa22T.seq	WC18.13
30.MHAa52g6.seq	WC17.18
30.MHAa58c6.seq	WC1.63
30.MHAa89g6.seq	WC1.10
30.MHAa96c6.seq	WC1.11
30.MMHAP11FLB6.seq	WC4.47
30.MMHAP12FLB6.seq	WC12.32
30.MMHAP12FRB12.seq	WC19.21
30.MMHAP14FLB6.seq	WC3.40
30.MMHAP14FRB12.seq	WC14.22
30.MMHAP15FLB6.seq	WC17.14
30.MMHAP16FRB12.seq	WCX.12
30.MMHAP22FRB12.seq	WC17.23
30.MMHAP25FRB12.seq	WC6.34
30.MMHAP26FRB12.seq	WC14.35
30.MMHAP28FLB6.seq	WC13.17
30.MMHAP28FRB12.seq	WC6.35
30.MMHAP29FRB12.seq	WC10.5
30.MMHAP30FLB6.seq	WC6.35
30.MMHAP31FLB6.seq	WC6.2
30.MMHAP34FLB6.seq	WC5.37
30.MMHAP36FRB12.seq	WC3.45
30.MMHAP38FLB6.seq	WC11.34
30.MMHAP45FRB12.seq	WC5.38
30.MMHAP48FLB6.seq	WC6.24
30.MMHAP4FRB12.seq	WC5.6
30.MMHAP59FLB6.seq	WC9.43
30.MMHAP59FRB12.seq	WC4.42
30.MMHAP5FLB6.seq	WC19.22
30.MMHAP66FLB6.seq	WC17.20
30.MMHAP67FLB6.seq	WCX.37
30.MMHAP69FRB12.seq	WC1.63
30.MMHAP6FLB6.seq	WC11.16
30.MMHAP6FRB12.seq	WC12.26
30.MMHAP75FLB6.seq	WC16.23
30.MMHAP84FLB6.seq	WC19.21
30.MMHAP85FRB12.seq	WCX.17
30.MMHAP87FRB12.seq	WC12.25
30.MMHAP88FRB12.seq	WC14.1
30.MMHAP90FRB12.seq	WC7.14
30.MMHAP91FLB6.seq	WC18.29
30.MMHAP94FLB6.seq	WC9.24
30.MMHAP97FRB12.seq	WC2.14
30.MMHAP9FLB6.seq	WC11.36
30.MMHAP9FRB12.seq	WC9.13
30.mHAa3f6.seq	WCX.34
31.MMHAP16FRC10.seq	WC9.2
31.MMHAP17FC4.seq	WC14.10
31.MMHAP17FRC10.seq	WC1.25
31.MMHAP22FRC10.seq	WC2.56
31.MMHAP25FLC4.seq	WC15.29
31.MMHAP26FRC10.seq	WC7.41
31.MMHAP27FRC10.seq	WC2.31
31.MMHAP28FLC4.seq	WC14.4
