	WC2.2
D15Mit128	WC15.21
D15Mit129	WC15.5
D15Mit13	WC15.0
D15Mit131	WC15.10
D15Mit132	WC15.19
D15Mit133	WC15.22
D15Mit134	WC15.30
D15Mit136	WC15.10
D15Mit137	WC15.11
D15Mit138	WC15.13
D15Mit14	WC15.33
D15Mit140	WC15.13
D15Mit141	WC15.17
D15Mit142	WC15.17
D15Mit143	WC15.18
D15Mit144	WC15.23
D15Mit145	WC15.24
D15Mit146	WC15.25
D15Mit148	WC15.33
D15Mit15	WC15.31
D15Mit153	WC15.16
D15Mit154	WC15.15
D15Mit156	WC15.24
D15Mit157	WC15.27
D15Mit158	WC15.28
D15Mit159	WC15.31
D15Mit160	WC15.33
D15Mit165	WC15.12
D15Mit166	WC15.15
D15Mit167	WC15.21
D15Mit170	WC15.31
D15Mit171	WC15.32
D15Mit172	WC15.32
D15Mit174	WC15.0
D15Mit176	WC15.3
D15Mit177	WC15.3
D15Mit178	WC15.5
D15Mit179	WC15.4
D15Mit18	WC15.10
D15Mit180	WC15.10
D15Mit181	WC15.14
D15Mit183	WC15.19
D15Mit184	WC15.19
D15Mit185	WC15.23
D15Mit186	WC15.24
D15Mit187	WC15.26
D15Mit192	WC15.32
D15Mit193	WC15.32
D15Mit196	WC15.21
D15Mit197	WC15.27
D15Mit199	WC15.4
D15Mit20	WC15.9
D15Mit200	WC15.7
D15Mit201	WC15.10
D15Mit202	WC15.10
D15Mit203	WC15.10
D15Mit204	WC15.11
D15Mit205	WC15.12
D15Mit206	WC15.15
D15Mit207	WC15.21
D15Mit209	WC15.21
D15Mit21	WC15.10
D15Mit210	WC15.21
D15Mit211	WC15.23
D15Mit212	WC15.23
D15Mit213	WC15.23
D15Mit214	WC15.28
D15Mit215	WC15.30
D15Mit216	WC15.31
D15Mit217	WC15.32
D15Mit218	WC15.32
D15Mit220	WC15.12
D15Mit221	WC15.18
D15Mit222	WC15.28
D15Mit224	WC15.0
D15Mit225	WC15.2
D15Mit226	WC15.7
D15Mit227	WC15.15
D15Mit228	WC15.18
D15Mit229	WC15.14
D15Mit230	WC15.19
D15Mit231	WC15.19
D15Mit232	WC15.19
D15Mit233	WC15.22
D15Mit234	WC15.22
D15Mit235	WC15.27
D15Mit236	WC15.25
D15Mit238	WC15.29
D15Mit24	WC15.14
D15Mit240	WC15.30
D15Mit241	WC15.31
D15Mit242	WC15.32
D15Mit243	WC15.32
D15Mit244	WC15.32
D15Mit245	WC15.32
D15Mit248	WC15.0
D15Mit249	WC15.10
D15Mit25	WC15.19
D15Mit251	WC15.6
D15Mit252	WC15.7
D15Mit253	WC15.8
D15Mit254	WC15.12
D15Mit255	WC15.14
D15Mit256	WC15.12
D15Mit258	WC15.25
D15Mit259	WC15.29
D15Mit260	WC15.29
D15Mit262	WC15.31
D15Mit263	WC15.33
D15Mit264	WC15.1
D15Mit265	WC15.4
D15Mit267	WC15.8
D15Mit268	WC15.15
D15Mit269	WC15.19
D15Mit27	WC15.21
D15Mit270	WC15.22
D15Mit271	WC15.27
D15Mit272	WC15.32
D15Mit275	WC15.3
D15Mit276	WC15.10
D15Mit28	WC15.26
D15Mit29	WC15.26
D15Mit3	WC15.23
D15Mit30	WC15.25
D15Mit31	WC15.28
D15Mit32	WC15.28
D15Mit33	WC15.30
D15Mit34	WC15.32
D15Mit37	WC15.31
D15Mit38	WC15.10
D15Mit41	WC15.32
D15Mit45	WC15.9
D15Mit46	WC15.21
D15Mit47	WC15.24
D15Mit48	WC15.32
D15Mit49	WC15.12
D15Mit50	WC15.21
D15Mit51	WC15.3
D15Mit52	WC15.7
D15Mit53	WC15.4
D15Mit55	WC15.11
D15Mit56	WC15.12
D15Mit57	WC15.12
D15Mit59	WC15.16
D15Mit60	WC15.15
D15Mit61	WC15.20
D15Mit62	WC15.22
D15Mit63	WC15.23
D15Mit64	WC15.22
D15Mit65	WC15.22
D15Mit66	WC15.23
D15Mit67	WC15.24
D15Mit68	WC15.25
D15Mit69	WC15.28
D15Mit71	WC15.29
D15Mit72	WC15.31
D15Mit77	WC15.33
D15Mit79	WC15.33
D15Mit80	WC15.0
D15Mit81	WC15.5
D15Mit82	WC15.10
D15Mit84	WC15.13
D15Mit85	WC15.17
D15Mit86	WC15.17
D15Mit87	WC15.15
D15Mit88	WC15.21
D15Mit9	WC15.8
D15Mit90	WC15.23
D15Mit91	WC15.24
D15Mit92	WC15.24
D15Mit93	WC15.27
D15Mit94	WC15.26
D15Mit95	WC15.28
D15Mit96	WC15.31
D15Mit98	WC15.10
D15Mit99	WC15.10
D16Mit1	WC16.6
D16Mit100	WC16.4
D16Mit102	WC16.7
D16Mit103	WC16.8
D16Mit104	WC16.9
D16Mit105	WC16.19
D16Mit107	WC16.1
D16Mit108	WC16.1
D16Mit109	WC16.3
D16Mit11	WC16.10
D16Mit110	WC16.8
D16Mit112	WC16.9
D16Mit114	WC16.20
D16Mit115	WC16.18
D16Mit116	WC16.20
D16Mit119	WC16.29
D16Mit120	WC16.30
D16Mit121	WC16.1
D16Mit122	WC16.1
D16Mit128	WC16.27
D16Mit13	WC16.10
D16Mit130	WC16.1
D16Mit135	WC16.10
D16Mit136	WC16.10
D16Mit137	WC16.11
D16Mit140	WC16.16
D16Mit144	WC16.6
D16Mit145	WC16.6
D16Mit147	WC16.10
D16Mit149	WC16.17
D16Mit15	WC16.13
D16Mit150	WC16.20
D16Mit152	WC16.24
D16Mit153	WC16.25
D16Mit154	WC16.1
D16Mit157	WC16.11
D16Mit159	WC16.1
D16Mit160	WC16.1
D16Mit161	WC16.3
D16Mit163	WC16.1
D16Mit164	WC16.2
D16Mit165	WC16.4
D16Mit166	WC16.8
D16Mit167	WC16.9
D16Mit168	WC16.11
D16Mit169	WC16.13
D16Mit170	WC16.12
D16Mit172	WC16.17
D16Mit176	WC16.21
D16Mit178	WC16.23
D16Mit179	WC16.24
D16Mit180	WC16.0
D16Mit181	WC16.1
D16Mit182	WC16.1
D16Mit183	WC16.3
D16Mit184	WC16.14
D16Mit187	WC16.20
D16Mit19	WC16.22
D16Mit190	WC16.23
D16Mit191	WC16.25
D16Mit194	WC16.10
D16Mit195	WC16.10
D16Mit196	WC16.13
D16Mit197	WC16.11
D16Mit198	WC16.11
D16Mit199	WC16.14
D16Mit2	WC16.6
D16Mit20	WC16.28
D16Mit201	WC16.17
D16Mit202	WC16.20
D16Mit203	WC16.23
D16Mit208	WC16.6
D16Mit209	WC16.7
D16Mit211	WC16.9
D16Mit212	WC16.9
D16Mit213	WC16.11
D16Mit214	WC16.12
D16Mit215	WC16.19
D16Mit216	WC16.18
D16Mit217	WC16.21
D16Mit219	WC16.28
D16Mit221	WC16.14
D16Mit222	WC16.19
D16Mit226	WC16.10
D16Mit229	WC16.8
D16Mit27	WC16.20
D16Mit28	WC16.6
D16Mit29	WC16.6
D16Mit3	WC16.8
D16Mit32	WC16.0
D16Mit33	WC16.3
D16Mit34	WC16.5
D16Mit35	WC16.6
D16Mit39	WC16.11
D16Mit4	WC16.10
D16Mit40	WC16.11
D16Mit41	WC16.11
D16Mit42	WC16.13
D16Mit45	WC16.12
D16Mit46	WC16.14
D16Mit49	WC16.22
D16Mit5	WC16.15
D16Mit50	WC16.22
D16Mit51	WC16.27
D16Mit52	WC16.27
D16Mit54	WC16.1
D16Mit55	WC16.1
D16Mit56	WC16.5
D16Mit57	WC16.8
D16Mit58	WC16.8
D16Mit59	WC16.10
D16Mit61	WC16.12
D16Mit62	WC16.12
D16Mit63	WC16.13
D16Mit64	WC16.15
D16Mit65	WC16.20
D16Mit67	WC16.16
D16Mit69	WC16.25
D16Mit7	WC16.26
D16Mit70	WC16.26
D16Mit71	WC16.30
D16Mit72	WC16.1
D16Mit73	WC16.4
D16Mit75	WC16.10
D16Mit76	WC16.19
D16Mit78	WC16.21
D16Mit79	WC16.1
D16Mit8	WC16.1
D16Mit81	WC16.2
D16Mit82	WC16.10
D16Mit83	WC16.11
D16Mit85	WC16.13
D16Mit86	WC16.27
D16Mit87	WC16.3
D16Mit88	WC16.4
D16Mit89	WC16.8
D16Mit9	WC16.1
D16Mit90	WC16.10
D16Mit91	WC16.13
D16Mit95	WC16.28
D16Mit99	WC16.10
D17Mit100	WC17.0
D17Mit104	WC17.3
D17Mit106	WC17.4
D17Mit110	WC17.6
D17Mit111	WC17.12
D17Mit114	WC17.0
D17Mit117	WC17.4
D17Mit118	WC17.6
D17Mit119	WC17.7
D17Mit121	WC17.13
D17Mit124	WC17.2
D17Mit125	WC17.3
D17Mit126	WC17.3
D17Mit131	WC17.0
D17Mit134	WC17.1
D17Mit135	WC17.1
D17Mit140	WC17.7
D17Mit141	WC17.10
D17Mit145	WC17.0
D17Mit148	WC17.3
D17Mit150	WC17.5
D17Mit151	WC17.6
D17Mit153	WC17.8
D17Mit159	WC17.9
D17Mit160	WC17.9
D17Mit161	WC17.12
D17Mit168	WC17.3
D17Mit169	WC17.8
D17Mit170	WC17.0
D17Mit18	WC17.0
D17Mit185	WC17.7
D17Mit186	WC17.10
D17Mit187	WC17.13
D17Mit188	WC17.14
D17Mit189	WC17.14
D17Mit190	WC17.14
D17Mit193	WC17.7
D17Mit2	WC17.14
D17Mit203	WC17.5
D17Mit204	WC17.6
D17Mit206	WC17.10
D17Mit207	WC17.14
D17Mit208	WC17.14
D17Mit209	WC17.14
D17Mit211	WC17.14
D17Mit219	WC17.11
D17Mit220	WC17.13
D17Mit221	WC17.15
D17Mit241	WC17.12
D17Mit242	WC17.13
D17Mit243	WC17.14
D17Mit244	WC17.15
D17Mit246	WC17.0
D17Mit258	WC17.14
D17Mit259	WC17.0
D17Mit263	WC17.2
D17Mit27	WC17.0
D17Mit272	WC17.3
D17Mit3	WC17.7
D17Mit39	WC17.12
D17Mit41	WC17.14
D17Mit42	WC17.13
D17Mit46	WC17.0
D17Mit5	WC17.5
D17Mit54	WC17.7
D17Mit56	WC17.14
D17Mit71	WC17.7
D17Mit72	WC17.13
D17Mit73	WC17.14
D17Mit74	WC17.14
D17Mit75	WC17.14
D17Mit76	WC17.14
D17Mit90	WC17.6
D17Mit94	WC17.11
D18Mit1	WC18.26
D18Mit103	WC18.24
D18Mit104	WC18.12
D18Mit105	WC18.16
D18Mit107	WC18.23
D18Mit111	WC18.5
D18Mit112	WC18.8
D18Mit113	WC18.12
D18Mit116	WC18.3
D18Mit118	WC18.10
D18Mit12	WC18.7
D18Mit120	WC18.7
D18Mit121	WC18.18
D18Mit124	WC18.19
D18Mit134	WC18.11
D18Mit135	WC18.11
D18Mit137	WC18.17
D18Mit139	WC18.21
D18Mit14	WC18.11
D18Mit140	WC18.22
D18Mit142	WC18.25
D18Mit148	WC18.12
D18Mit149	WC18.13
D18Mit15	WC18.10
D18Mit150	WC18.16
D18Mit152	WC18.21
D18Mit154	WC18.25
D18Mit159	WC18.6
D18Mit161	WC18.23
D18Mit162	WC18.25
D18Mit163	WC18.12
D18Mit169	WC18.1
D18Mit170	WC18.3
D18Mit171	WC18.4
D18Mit173	WC18.5
D18Mit174	WC18.9
D18Mit175	WC18.10
D18Mit176	WC18.8
D18Mit177	WC18.11
D18Mit178	WC18.14
D18Mit179	WC18.13
D18Mit181	WC18.20
D18Mit182	WC18.23
D18Mit183	WC18.23
D18Mit184	WC18.23
D18Mit185	WC18.24
D18Mit187	WC18.25
D18Mit188	WC18.25
D18Mit191	WC18.2
D18Mit192	WC18.2
D18Mit193	WC18.11
D18Mit197	WC18.3
D18Mit200	WC18.8
D18Mit201	WC18.11
D18Mit202	WC18.12
D18Mit204	WC18.18
D18Mit205	WC18.20
D18Mit206	WC18.23
D18Mit207	WC18.24
D18Mit210	WC18.25
D18Mit212	WC18.26
D18Mit219	WC18.0
D18Mit225	WC18.6
D18Mit226	WC18.8
D18Mit227	WC18.11
D18Mit228	WC18.21
D18Mit23	WC18.12
D18Mit230	WC18.4
D18Mit232	WC18.10
D18Mit234	WC18.6
D18Mit235	WC18.13
D18Mit236	WC18.11
D18Mit237	WC18.13
D18Mit238	WC18.19
D18Mit24	WC18.17
D18Mit28	WC18.20
D18Mit30	WC18.1
D18Mit31	WC18.2
D18Mit33	WC18.24
D18Mit35	WC18.13
D18Mit36	WC18.14
D18Mit37	WC18.12
D18Mit40	WC18.23
D18Mit45	WC18.26
D18Mit47	WC18.25
D18Mit48	WC18.25
D18Mit49	WC18.25
D18Mit51	WC18.22
D18Mit52	WC18.20
D18Mit53	WC18.16
D18Mit54	WC18.16
D18Mit55	WC18.16
D18Mit56	WC18.14
D18Mit57	WC18.15
D18Mit58	WC18.14
D18Mit60	WC18.8
D18Mit61	WC18.9
D18Mit62	WC18.9
D18Mit63	WC18.8
D18Mit64	WC18.0
D18Mit7	WC18.26
D18Mit70	WC18.10
D18Mit71	WC18.11
D18Mit73	WC18.15
D18Mit76	WC18.16
D18Mit79	WC18.25
D18Mit8	WC18.25
D18Mit80	WC18.25
D18Mit81	WC18.23
D18Mit84	WC18.8
D18Mit87	WC18.8
D18Mit88	WC18.8
D18Mit89	WC18.11
D18Mit90	WC18.18
D18Mit91	WC18.18
D18Mit95	WC18.9
D18Mit97	WC18.8
D18Mit98	WC18.9
D18Mit99	WC18.12
D19Mit1	WC19.17
D19Mit10	WC19.14
D19Mit100	WC19.10
D19Mit101	WC19.9
D19Mit102	WC19.12
D19Mit103	WC19.16
D19Mit104	WC19.17
D19Mit105	WC19.18
D19Mit106	WC19.5
D19Mit109	WC19.0
D19Mit110	WC19.3
D19Mit111	WC19.3
D19Mit115	WC19.0
D19Mit117	WC19.4
D19Mit118	WC19.9
D19Mit12	WC19.7
D19Mit122	WC19.15
D19Mit123	WC19.15
D19Mit126	WC19.0
D19Mit128	WC19.2
D19Mit129	WC19.2
D19Mit13	WC19.8
D19Mit130	WC19.3
D19Mit131	WC19.6
D19Mit132	WC19.6
D19Mit133	WC19.7
D19Mit134	WC19.8
D19Mit135	WC19.6
D19Mit136	WC19.18
D19Mit137	WC19.19
D19Mit16	WC19.3
D19Mit17	WC19.12
D19Mit18	WC19.9
D19Mit19	WC19.9
D19Mit2	WC19.15
D19Mit20	WC19.9
D19Mit21	WC19.9
D19Mit22	WC19.0
D19Mit23	WC19.3
D19Mit24	WC19.11
D19Mit25	WC19.15
D19Mit26	WC19.16
D19Mit27	WC19.11
D19Mit28	WC19.1
D19Mit3	WC19.15
D19Mit31	WC19.0
D19Mit34	WC19.17
D19Mit35	WC19.17
D19Mit36	WC19.16
D19Mit37	WC19.15
D19Mit39	WC19.6
D19Mit4	WC19.13
D19Mit40	WC19.5
D19Mit41	WC19.3
D19Mit45	WC19.3
D19Mit47	WC19.9
D19Mit48	WC19.10
D19Mit52	WC19.1
D19Mit54	WC19.16
D19Mit55	WC19.17
D19Mit57	WC19.6
D19Mit58	WC19.15
D19Mit60	WC19.3
D19Mit63	WC19.7
D19Mit64	WC19.8
D19Mit65	WC19.9
D19Mit66	WC19.10
D19Mit7	WC19.16
D19Mit70	WC19.15
D19Mit71	WC19.19
D19Mit72	WC19.19
D19Mit73	WC19.4
D19Mit74	WC19.13
D19Mit80	WC19.3
D19Mit81	WC19.8
D19Mit82	WC19.9
D19Mit88	WC19.9
D19Mit9	WC19.14
D19Mit92	WC19.19
D19Mit93	WC19.0
D19Mit96	WC19.3
D19Mit97	WC19.5
D19Mit98	WC19.9
D1Mit1	WC1.2
D1Mit100	WC1.48
D1Mit102	WC1.52
D1Mit103	WC1.50
D1Mit105	WC1.58
D1Mit110	WC1.60
D1Mit113	WC1.61
D1Mit114	WC1.61
D1Mit115	WC1.65
D1Mit116	WC1.65
D1Mit117	WC1.68
D1Mit118	WC1.4
D1Mit12	WC1.41
D1Mit120	WC1.6
D1Mit121	WC1.11
D1Mit122.1	WC1.12
D1Mit124	WC1.19
D1Mit125	WC1.21
D1Mit128	WC1.23
D1Mit13	WC1.42
D1Mit130	WC1.23
D1Mit133	WC1.25
D1Mit135	WC1.37
D1Mit136	WC1.35
D1Mit137	WC1.40
D1Mit138.1	WC1.45
D1Mit139	WC1.45
D1Mit142	WC1.56
D1Mit144	WC1.60
D1Mit146	WC1.61
D1Mit148	WC1.61
D1Mit149.1	WC1.62
D1Mit15	WC1.60
D1Mit150	WC1.64
D1Mit153	WC1.68
D1Mit154	WC1.68
D1Mit155	WC1.68
D1Mit157	WC1.33
D1Mit158	WC1.45
D1Mit16	WC1.60
D1Mit160.1	WC1.2
D1Mit161	WC1.18
D1Mit162	WC1.25
D1Mit163	WC1.40
D1Mit164	WC1.47
D1Mit165	WC1.65
D1Mit166	WC1.63
D1Mit168	WC1.6
D1Mit169.2	WC1.6
D1Mit17	WC1.68
D1Mit170.1	WC1.11
D1Mit171	WC1.11
D1Mit172	WC1.12
D1Mit173.1	WC1.12
D1Mit174	WC1.14
D1Mit175	WC1.15
D1Mit179	WC1.23
D1Mit18	WC1.17
D1Mit180	WC1.23
D1Mit181	WC1.23
D1Mit183	WC1.29
D1Mit184	WC1.30
D1Mit186	WC1.36
D1Mit187	WC1.38
D1Mit188	WC1.43
D1Mit189	WC1.41
D1Mit19	WC1.23
D1Mit191	WC1.41
D1Mit192	WC1.45
D1Mit194	WC1.52
D1Mit195	WC1.53
D1Mit196	WC1.54
D1Mit197	WC1.50
D1Mit198	WC1.51
D1Mit199	WC1.49
D1Mit20	WC1.8
D1Mit201	WC1.56
D1Mit202	WC1.57
D1Mit206	WC1.62
D1Mit207	WC1.65
D1Mit208	WC1.67
D1Mit209	WC1.68
D1Mit210	WC1.68
D1Mit211	WC1.7
D1Mit212	WC1.12
D1Mit213	WC1.14
D1Mit214	WC1.18
D1Mit215	WC1.26
D1Mit217	WC1.41
D1Mit218.2	WC1.46
D1Mit221	WC1.67
D1Mit223	WC1.68
D1Mit224	WC1.68
D1Mit225	WC1.9
D1Mit225.1	WC1.9
D1Mit226	WC1.41
D1Mit228.1	WC1.12
D1Mit229	WC1.46
D1Mit23	WC1.24
D1Mit231	WC1.6
D1Mit232	WC1.12
D1Mit233	WC1.12
D1Mit234.1	WC1.15
D1Mit236	WC1.15
D1Mit237	WC1.16
D1Mit238	WC1.34
D1Mit239	WC1.45
D1Mit24	WC1.23
D1Mit240	WC1.41
D1Mit241	WC1.68
D1Mit242.1	WC1.4
D1Mit243	WC1.11
D1Mit244	WC1.10
D1Mit245	WC1.10
D1Mit246	WC1.12
D1Mit247	WC1.12
D1Mit248	WC1.14
D1Mit249	WC1.19
D1Mit250	WC1.23
D1Mit251	WC1.23
D1Mit253	WC1.26
D1Mit254	WC1.29
D1Mit256	WC1.32
D1Mit257	WC1.33
D1Mit258	WC1.40
D1Mit259.2	WC1.40
D1Mit26	WC1.39
D1Mit260	WC1.41
D1Mit261	WC1.41
D1Mit262.1	WC1.46
D1Mit263	WC1.46
D1Mit264	WC1.51
D1Mit265	WC1.54
D1Mit269	WC1.60
D1Mit27	WC1.41
D1Mit270	WC1.61
D1Mit272	WC1.67
D1Mit274	WC1.68
D1Mit275.1	WC1.0
D1Mit276	WC1.6
D1Mit277	WC1.8
D1Mit277.2	WC1.8
D1Mit278	WC1.11
D1Mit279	WC1.18
D1Mit282	WC1.23
D1Mit284	WC1.25
D1Mit284.2	WC1.25
D1Mit285	WC1.44
D1Mit287S	WC1.47
D1Mit289	WC1.53
D1Mit29	WC1.46
D1Mit291	WC1.67
D1Mit292	WC1.68
D1Mit293	WC1.68
D1Mit294	WC1.2
D1Mit295	WC1.3
D1Mit296	WC1.1
D1Mit30	WC1.47
D1Mit300	WC1.21
D1Mit301	WC1.19
D1Mit302	WC1.18
D1Mit303	WC1.20
D1Mit304	WC1.23
D1Mit305	WC1.28
D1Mit306	WC1.33
D1Mit307	WC1.37
D1Mit31.2	WC1.47
D1Mit310	WC1.43
D1Mit311	WC1.42
D1Mit315	WC1.65
D1Mit316	WC1.1
D1Mit317	WC1.6
D1Mit318	WC1.8
D1Mit319	WC1.8
D1Mit320	WC1.12
D1Mit322	WC1.12
D1Mit323	WC1.16
D1Mit324	WC1.18
D1Mit326	WC1.19
D1Mit328	WC1.22
D1Mit33	WC1.59
D1Mit330	WC1.23
D1Mit331	WC1.25
D1Mit332	WC1.25
D1Mit333	WC1.25
D1Mit334	WC1.27
D1Mit335	WC1.31
D1Mit336	WC1.33
D1Mit338	WC1.38
D1Mit339	WC1.41
D1Mit341	WC1.42
D1Mit342	WC1.41
D1Mit343	WC1.41
D1Mit345	WC1.46
D1Mit345.2	WC1.46
D1Mit347	WC1.50
D1Mit350	WC1.59
D1Mit353	WC1.61
D1Mit354	WC1.62
D1Mit355.2	WC1.62
D1Mit356	WC1.62
D1Mit357	WC1.63
D1Mit358	WC1.65
D1Mit36	WC1.61
D1Mit361.3	WC1.67
D1Mit362	WC1.68
D1Mit363	WC1.7
D1Mit364	WC1.22
D1Mit365	WC1.32
D1Mit367	WC1.41
D1Mit368	WC1.41
D1Mit369	WC1.50
D1Mit37	WC1.66
D1Mit370	WC1.60
D1Mit374	WC1.11
D1Mit375	WC1.14
D1Mit376.1	WC1.18
D1Mit379	WC1.20
D1Mit380	WC1.23
D1Mit381	WC1.23
D1Mit383	WC1.29
D1Mit384	WC1.29
D1Mit385	WC1.33
D1Mit386	WC1.36
D1Mit387	WC1.44
D1Mit388	WC1.40
D1Mit390	WC1.41
D1Mit391	WC1.41
D1Mit392	WC1.45
D1Mit393	WC1.46
D1Mit394	WC1.49
D1Mit395	WC1.48
D1Mit396	WC1.55
D1Mit4	WC1.6
D1Mit402	WC1.61
D1Mit403	WC1.63
D1Mit404	WC1.65
D1Mit406	WC1.66
D1Mit407	WC1.67
D1Mit409.1	WC1.68
D1Mit410	WC1.7
D1Mit411	WC1.8
D1Mit412	WC1.11
D1Mit413	WC1.12
D1Mit414	WC1.18
D1Mit415	WC1.31
D1Mit417	WC1.40
D1Mit418	WC1.41
D1Mit419	WC1.41
D1Mit42	WC1.56
D1Mit420	WC1.41
D1Mit421.1	WC1.45
D1Mit422	WC1.49
D1Mit423	WC1.48
D1Mit424	WC1.58
D1Mit425	WC1.57
D1Mit428	WC1.3
D1Mit429	WC1.2
D1Mit43	WC1.55
D1Mit430	WC1.5
D1Mit431	WC1.6
D1Mit432	WC1.6
D1Mit432.1	WC1.6
D1Mit433	WC1.12
D1Mit436	WC1.25
D1Mit437	WC1.25
D1Mit439	WC1.27
D1Mit44	WC1.29
D1Mit441	WC1.38
D1Mit442	WC1.45
D1Mit443	WC1.41
D1Mit444	WC1.42
D1Mit448	WC1.49
D1Mit45	WC1.32
D1Mit450	WC1.56
D1Mit453	WC1.60
D1Mit455	WC1.61
D1Mit455.1	WC1.61
D1Mit457	WC1.64
D1Mit458	WC1.66
D1Mit459	WC1.68
D1Mit46	WC1.24
D1Mit460	WC1.68
D1Mit462.2	WC1.13
D1Mit463	WC1.68
D1Mit471	WC1.41
D1Mit475	WC1.4
D1Mit476	WC1.12
D1Mit477	WC1.14
D1Mit478	WC1.17
D1Mit479	WC1.19
D1Mit48	WC1.28
D1Mit480	WC1.21
D1Mit481	WC1.23
D1Mit483.1	WC1.25
D1Mit484	WC1.25
D1Mit484.2	WC1.25
D1Mit485	WC1.30
D1Mit486	WC1.31
D1Mit492	WC1.39
D1Mit494	WC1.45
D1Mit495	WC1.46
D1Mit498	WC1.50
D1Mit499	WC1.48
D1Mit5	WC1.21
D1Mit500	WC1.55
D1Mit502	WC1.55
D1Mit503	WC1.58
D1Mit507	WC1.60
D1Mit508	WC1.61
D1Mit510	WC1.68
D1Mit511	WC1.68
D1Mit512	WC1.68
D1Mit515	WC1.31
D1Mit518	WC1.10
D1Mit523	WC1.56
D1Mit524	WC1.61
D1Mit525	WC1.66
D1Mit527	WC1.11
D1Mit528	WC1.16
D1Mit53.2	WC1.30
D1Mit530	WC1.17
D1Mit531	WC1.18
D1Mit536	WC1.46
D1Mit54	WC1.41
D1Mit543	WC1.68
D1Mit544	WC1.16
D1Mit55	WC1.56
D1Mit58.2	WC1.1
D1Mit60	WC1.34
D1Mit61	WC1.24
D1Mit62	WC1.65
D1Mit63	WC1.60
D1Mit64	WC1.0
D1Mit65	WC1.3
D1Mit66	WC1.5
D1Mit67	WC1.5
D1Mit68	WC1.5
D1Mit7	WC1.24
D1Mit70	WC1.8
D1Mit71	WC1.11
D1Mit72	WC1.11
D1Mit73	WC1.13
D1Mit74	WC1.18
D1Mit75	WC1.18
D1Mit77	WC1.23
D1Mit78	WC1.23
D1Mit79	WC1.25
D1Mit8	WC1.29
D1Mit80	WC1.31
D1Mit82	WC1.17
D1Mit84	WC1.32
D1Mit85	WC1.33
D1Mit86	WC1.35
D1Mit87	WC1.38
D1Mit88	WC1.41
D1Mit89	WC1.45
D1Mit9	WC16.28
D1Mit90.1	WC1.45
D1Mit93	WC1.45
D1Mit94	WC1.45
D1Mit99	WC1.46
D2Mit10	WC2.21
D2Mit100	WC2.36
D2Mit103	WC2.39
D2Mit104	WC2.40
D2Mit105	WC2.40
D2Mit106	WC2.41
D2Mit107	WC2.41
D2Mit108	WC2.42
D2Mit110	WC2.45
D2Mit112	WC2.51
D2Mit113	WC2.52
D2Mit114	WC2.53
D2Mit116	WC2.3
D2Mit117	WC2.2
D2Mit118	WC2.3
D2Mit119	WC2.2
D2Mit12	WC2.33
D2Mit120	WC2.10
D2Mit121	WC2.12
D2Mit122	WC2.15
D2Mit123	WC2.21
D2Mit124	WC2.22
D2Mit125	WC2.21
D2Mit126	WC2.27
D2Mit128	WC2.36
D2Mit129	WC2.31
D2Mit13	WC2.36
D2Mit131	WC2.38
D2Mit132	WC2.39
D2Mit133	WC2.40
D2Mit139	WC2.46
D2Mit140	WC2.46
D2Mit141	WC2.35
D2Mit142	WC2.49
D2Mit143	WC2.49
D2Mit145	WC2.51
D2Mit148	WC2.53
D2Mit149.1	WC2.4
D2Mit15	WC2.32
D2Mit150	WC2.8
D2Mit152	WC2.12
D2Mit153	WC2.11
D2Mit154	WC2.17
D2Mit155	WC2.18
D2Mit156	WC2.20
D2Mit157	WC2.19
D2Mit158	WC2.24
D2Mit16.1	WC2.40
D2Mit160	WC2.27
D2Mit162.1	WC2.37
D2Mit164	WC2.40
D2Mit165	WC2.42
D2Mit166	WC2.44
D2Mit17	WC2.40
D2Mit170	WC2.50
D2Mit174	WC2.53
D2Mit175	WC2.1
D2Mit176	WC2.2
D2Mit177	WC2.2
D2Mit178	WC2.7
D2Mit180	WC2.10
D2Mit183	WC2.24
D2Mit185	WC2.29
D2Mit186	WC2.33
D2Mit187	WC2.38
D2Mit189.2	WC2.39
D2Mit19.2	WC2.41
D2Mit192	WC2.41
D2Mit193	WC2.41
D2Mit194	WC2.44
D2Mit196	WC2.49
D2Mit197	WC2.49
D2Mit199	WC2.54
D2Mit2	WC2.2
D2Mit201	WC2.2
D2Mit203.1	WC2.12
D2Mit204	WC2.15
D2Mit206	WC2.36
D2Mit209.2	WC2.43
D2Mit21	WC2.44
D2Mit211.2	WC2.37
D2Mit212	WC2.44
D2Mit213	WC2.54
D2Mit214	WC2.36
D2Mit215	WC2.2
D2Mit216	WC2.2
D2Mit217	WC2.11
D2Mit218	WC2.19
D2Mit219	WC2.25
D2Mit22	WC2.46
D2Mit221	WC2.31
D2Mit224	WC2.40
D2Mit226	WC2.50
D2Mit227	WC2.50
D2Mit228	WC2.51
D2Mit229	WC2.51
D2Mit230	WC2.55
D2Mit231	WC2.0
D2Mit232S	WC2.2
D2Mit233	WC2.2
D2Mit235	WC2.12
D2Mit236	WC2.12
D2Mit237	WC2.13
D2Mit239	WC2.12
D2Mit241	WC2.17
D2Mit242	WC2.20
D2Mit244	WC2.21
D2Mit246	WC2.24
D2Mit247	WC2.25
D2Mit248	WC2.27
D2Mit249	WC2.34
D2Mit25	WC2.51
D2Mit250	WC2.33
D2Mit251	WC2.34
D2Mit252	WC2.36
